Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Q1 Freq (Hz)	Q3 Freq Rel.	Begin Clock Time	calltype
1	Spectrogram 1	6	3.865859269	43.134850791	79.3	193.8	39.269	85.9	93.8	0.8214	0:00:03.866	c
2	Spectrogram 1	6	455.154062359	509.886490957	4.4	502.2	54.732	7.8	27.3	0.3492	0:07:35.154	su
3	Spectrogram 1	6	617.235748870	671.968177468	4.4	264.3	54.732	160.2	19.5	0.5846	0:10:17.236	su
4	Spectrogram 1	6	796.693005463	850.408102675	0.0	215.9	53.715	3.9	0.0	0.4000	0:13:16.693	c
5	Spectrogram 1	6	1223.543168677	1278.682529830	0.0	229.1	55.139	3.9	3.9	0.2759	0:20:23.543	su
6	Spectrogram 1	6	1396.279154740	1443.076398523	0.0	211.5	46.797	66.4	0.0	0.3519	0:23:16.279	c
7	Spectrogram 1	6	1547.728628297	1602.257590618	0.0	215.9	54.529	3.9	0.0	0.0727	0:25:47.729	c
8	Spectrogram 1	6	2332.620589676	2387.149551997	0.0	202.6	54.529	85.9	0.0	0.3922	0:38:52.621	c
9	Spectrogram 1	6	2728.078096270	2786.879850414	35.2	524.2	58.802	70.3	82.0	0.2661	0:45:28.078	su
10	Spectrogram 1	6	2918.645061605	2989.247859834	0.0	215.9	70.603	82.0	0.0	0.4000	0:48:38.645	c
11	Spectrogram 1	6	3217.130090430	3291.598747928	44.1	524.2	74.469	195.3	82.0	0.2623	0:53:37.130	su
12	Spectrogram 1	6	3039.910962886	3104.613239073	74.9	387.7	64.702	89.8	85.9	0.2785	0:50:39.911	c
13	Spectrogram 1	6	3534.863479088	3587.764711191	17.6	524.2	52.901	89.8	82.0	0.2868	0:58:54.863	su
14	Spectrogram 1	6	3789.806724567	3840.266361341	66.1	616.7	50.460	78.1	82.0	0.1857	1:03:09.807	su
15	Spectrogram 1	6	6628.896471741	6684.239299171	26.4	581.5	55.343	164.1	101.6	0.2766	1:50:28.896	su
16	Spectrogram 1	6	7232.093047476	7272.786302939	39.6	541.9	40.693	152.3	144.5	0.2756	2:00:32.093	su
17	Spectrogram 1	6	7647.897181801	7694.287493029	114.5	215.9	46.390	164.1	148.4	0.6000	2:07:27.897	c
18	Spectrogram 1	6	7986.791063301	8039.692295403	127.8	211.5	52.901	160.2	152.3	0.5714	2:13:06.791	c
19	Spectrogram 1	6	8748.894801620	8800.778702336	70.5	511.0	51.884	160.2	132.8	0.2523	2:25:48.895	c
20	Spectrogram 1	6	9777.987889035	9833.534182743	105.7	489.0	55.546	156.2	136.7	0.2371	2:42:57.988	c
