Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Q1 Freq (Hz)	Q3 Freq Rel.	Begin Clock Time	calltype
1	Spectrogram 1	6	1471.225308026	1529.213197061	26.4	211.5	57.988	78.1	62.5	0.5319	0:24:31.225	c
2	Spectrogram 1	6	1568.482188583	1612.023971929	30.8	185.0	43.542	171.9	78.1	0.8718	0:26:08.482	c
3	Spectrogram 1	6	1590.863479088	1634.201796157	96.9	511.0	43.338	160.2	136.7	0.2667	0:26:30.863	c
4	Spectrogram 1	6	2009.719607573	2063.027772231	13.2	493.4	53.308	15.6	27.3	0.2951	0:33:29.720	su
5	Spectrogram 1	6	2073.404552374	2136.072165787	0.0	202.6	62.668	0.0	0.0	0.0196	0:34:33.405	c
6	Spectrogram 1	6	2176.892504579	2263.365672439	0.0	202.6	86.473	3.9	0.0	0.0196	0:36:16.893	su
7	Spectrogram 1	6	2524.204886398	2575.478388282	0.0	462.6	51.274	171.9	0.0	0.0085	0:42:04.205	su
8	Spectrogram 1	6	3093.015661266	3149.375820083	0.0	237.9	56.360	0.0	0.0	0.0167	0:51:33.016	su
9	Spectrogram 1	6	3365.660472871	3432.804344386	0.0	237.9	67.144	0.0	0.0	0.0167	0:56:05.660	sd
10	Spectrogram 1	6	3678.510670874	3734.870829691	0.0	259.9	56.360	0.0	0.0	0.0152	1:01:18.511	su
11	Spectrogram 1	6	3780.243809533	3818.902402223	123.3	207.0	38.659	125.0	125.0	0.4286	1:03:00.244	c
12	Spectrogram 1	6	4285.166173323	4345.188725132	0.0	475.8	60.023	0.0	0.0	0.0083	1:11:25.166	sd
13	Spectrogram 1	6	4882.177824228	4937.520651658	0.0	568.3	55.343	0.0	0.0	0.0069	1:21:22.178	su
14	Spectrogram 1	6	5099.169284159	5146.169994219	0.0	211.5	47.001	0.0	0.0	0.0185	1:24:59.169	c
15	Spectrogram 1	6	5466.452036172	5518.539403165	17.6	585.9	52.087	125.0	62.5	0.2153	1:31:06.452	su
16	Spectrogram 1	6	5334.325592437	5370.949522354	0.0	193.8	36.624	0.0	0.0	0.0204	1:28:54.326	c
17	Spectrogram 1	6	5777.145041635	5851.206766579	0.0	202.6	74.062	0.0	0.0	0.0196	1:36:17.145	sd
18	Spectrogram 1	6	6034.042013376	6085.518981537	0.0	559.5	51.477	0.0	0.0	0.0070	1:40:34.042	su
19	Spectrogram 1	6	6105.255210437	6186.031322532	0.0	215.9	80.776	0.0	0.0	0.0182	1:41:45.255	c
20	Spectrogram 1	6	6454.322405803	6500.509250754	118.9	220.3	46.187	125.0	125.0	0.3600	1:47:34.322	c
21	Spectrogram 1	6	6509.258300678	6545.475298041	0.0	211.5	36.217	0.0	0.0	0.0185	1:48:29.258	c
22	Spectrogram 1	6	6581.285362849	6633.372729842	0.0	273.1	52.087	0.0	0.0	0.0145	1:49:41.285	su
23	Spectrogram 1	6	6860.970557649	6953.140781274	0.0	215.9	92.170	0.0	0.0	0.0182	1:54:20.971	c
24	Spectrogram 1	6	7164.338777129	7212.356818576	132.2	211.5	48.018	156.2	152.3	0.6000	1:59:24.339	c
25	Spectrogram 1	6	7560.813615109	7597.844477581	105.7	185.0	37.031	148.4	128.9	0.6842	2:06:00.814	c
26	Spectrogram 1	6	7916.798663904	7965.427104182	114.5	207.0	48.628	152.3	140.6	0.7826	2:11:56.799	c
27	Spectrogram 1	6	8553.974107950	8603.619879616	114.5	202.6	49.646	136.7	136.7	0.7619	2:22:33.974	c
28	Spectrogram 1	6	9022.679474378	9068.866319329	66.1	409.7	46.187	156.2	152.3	0.5862	2:30:22.679	su
29	Spectrogram 1	6	9289.139361153	9367.270411643	118.9	189.4	78.131	179.7	156.2	0.8824	2:34:49.139	sd
30	Spectrogram 1	6	9509.696805765	9556.697515825	0.0	414.1	47.001	164.1	0.0	0.1226	2:38:29.697	c
31	Spectrogram 1	6	10024.792483421	10072.200126036	0.0	224.7	47.408	0.0	0.0	0.0175	2:47:04.792	c
32	Spectrogram 1	6	10601.131510550	10652.608478711	0.0	215.9	51.477	0.0	0.0	0.0182	2:56:41.132	su
33	Spectrogram 1	6	10654.643141485	10702.661182931	96.9	193.8	48.018	164.1	121.1	0.7500	2:57:34.643	c
34	Spectrogram 1	6	11146.626297031	11199.934461688	96.9	383.3	53.308	105.5	128.9	0.4384	3:05:46.626	c
35	Spectrogram 1	6	11273.629150339	11354.812194989	30.8	224.7	81.183	58.6	62.5	0.6122	3:07:53.629	sd
36	Spectrogram 1	6	11669.981458553	11706.401922193	114.5	185.0	36.420	168.0	125.0	0.6471	3:14:29.981	c
37	Spectrogram 1	6	12052.010190844	12092.703446307	145.4	185.0	40.693	156.2	156.2	0.6667	3:20:52.010	c
38	Spectrogram 1	6	13512.044853617	13559.859428787	132.2	189.4	47.815	136.7	136.7	0.5000	3:45:12.045	c
39	Spectrogram 1	6	14207.941115298	14255.755690467	110.1	193.8	47.815	125.0	117.2	0.4500	3:56:47.941	c
40	Spectrogram 1	6	19814.784882818	19873.179704408	96.9	207.0	58.395	97.7	109.4	0.5357	5:30:14.785	sd
41	Spectrogram 1	6	21007.261390919	21080.305784476	61.7	198.2	73.044	93.8	89.8	0.6765	5:50:07.261	sd
42	Spectrogram 1	6	21701.814325170	21753.494759608	110.1	189.4	51.680	121.1	121.1	0.5263	6:01:41.814	su
43	Spectrogram 1	6	22350.383880746	22400.029652411	101.3	202.6	49.646	125.0	113.3	0.5600	6:12:30.384	c
44	Spectrogram 1	6	22847.493589488	22899.377490203	127.8	202.6	51.884	128.9	136.7	0.7222	6:20:47.494	c
45	Spectrogram 1	6	22895.918563489	22941.495009608	79.3	163.0	45.576	125.0	105.5	0.6000	6:21:35.919	c
46	Spectrogram 1	6	23108.540823286	23155.744999623	88.1	189.4	47.204	187.5	109.4	0.6800	6:25:08.541	c
47	Spectrogram 1	6	23016.980998493	23055.029192351	110.1	220.3	38.048	125.0	125.0	0.6667	6:23:36.981	c
48	Spectrogram 1	6	23226.754730407	23281.690625283	118.9	215.9	54.936	171.9	132.8	0.6667	6:27:06.755	c
50	Spectrogram 1	6	23412.031572532	23466.153602298	117.6	199.1	54.122	125.0	128.9	0.6842	6:30:12.032	c
51	Spectrogram 1	6	23634.216747362	23683.455586473	99.5	203.6	49.239	121.1	117.2	0.5000	6:33:54.217	c
52	Spectrogram 1	6	23715.634562360	23812.891442918	0.0	407.2	97.257	0.0	0.0	0.0096	6:35:15.635	sd
53	Spectrogram 1	6	23565.272983423	23618.581148080	13.6	307.7	53.308	62.5	82.0	0.7027	6:32:45.273	sd
54	Spectrogram 1	6	23849.199665976	23914.512340995	0.0	208.1	65.313	0.0	0.0	0.0189	6:37:29.200	sd
55	Spectrogram 1	6	24214.218167483	24253.283692728	0.0	215.9	39.066	0.0	0.0	0.0182	6:43:34.218	c
