Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Q1 Freq (Hz)	Q3 Freq Rel.	Begin Clock Time	calltype
1	Spectrogram 1	6	279.969597589	373.157152600	0.0	224.7	93.188	0.0	0.0	0.0175	0:04:39.970	sd
2	Spectrogram 1	6	552.126540128	605.841637340	0.0	449.3	53.715	0.0	0.0	0.0087	0:09:12.127	sd
3	Spectrogram 1	6	939.945789567	988.574229846	0.0	215.9	48.628	171.9	0.0	0.0182	0:15:39.946	c
4	Spectrogram 1	6	637.187968919	675.846561609	66.1	207.0	38.659	66.4	89.8	0.4722	0:10:37.188	c
5	Spectrogram 1	6	771.246571022	814.788354368	118.9	215.9	43.542	171.9	136.7	0.6250	0:12:51.247	c
6	Spectrogram 1	6	1100.590687265	1145.556734552	79.3	215.9	44.966	168.0	101.6	0.6176	0:18:20.591	c
7	Spectrogram 1	6	1357.161662962	1419.422343821	79.3	202.6	62.261	164.1	109.4	0.7000	0:22:37.162	c
8	Spectrogram 1	6	1160.390991585	1193.555994788	92.5	224.7	33.165	93.8	105.5	0.5152	0:19:20.391	c
9	Spectrogram 1	6	1193.759461065	1243.812165285	92.5	418.5	50.053	156.2	132.8	0.4940	0:19:53.759	c
10	Spectrogram 1	6	1813.252120196	1862.694425584	57.3	506.6	49.442	164.1	109.4	0.3421	0:30:13.252	c
11	Spectrogram 1	6	1516.394821590	1571.330716466	66.1	387.7	54.936	78.1	78.1	0.4024	0:25:16.395	c
12	Spectrogram 1	6	1760.757820648	1805.520401658	48.5	229.1	44.763	168.0	109.4	0.7111	0:29:20.758	c
13	Spectrogram 1	6	1872.460806895	1926.175904107	118.9	251.1	53.715	132.8	136.7	0.6061	0:31:12.461	c
14	Spectrogram 1	6	2212.168553504	2272.394571590	35.2	374.4	60.226	156.2	97.7	0.4706	0:36:52.169	c
15	Spectrogram 1	6	2048.378200264	2096.803174265	61.7	207.0	48.425	156.2	93.8	0.8108	0:34:08.378	c
16	Spectrogram 1	6	2384.707956669	2427.435874906	30.8	202.6	42.728	168.0	85.9	0.7907	0:39:44.708	c
17	Spectrogram 1	6	2441.881980595	2473.622719857	35.2	546.3	31.741	168.0	101.6	0.3101	0:40:41.882	c
18	Spectrogram 1	6	2496.940405237	2541.906452524	0.0	211.5	44.966	0.0	0.0	0.0185	0:41:36.940	c
19	Spectrogram 1	6	2724.822635833	2773.858008666	13.2	449.3	49.035	74.2	74.2	0.3423	0:45:24.823	c
20	Spectrogram 1	6	2851.378660324	2918.319065561	57.3	255.5	66.940	164.1	89.8	0.5600	0:47:31.379	sd
21	Spectrogram 1	6	2633.466277317	2681.687785041	22.0	242.3	48.222	101.6	66.4	0.5000	0:43:53.466	su
22	Spectrogram 1	6	3053.339737189	3126.587597023	83.7	211.5	73.248	93.8	101.6	0.5312	0:50:53.340	c
23	Spectrogram 1	6	3148.053289280	3180.404427374	17.6	467.0	32.351	105.5	54.7	0.3772	0:52:28.053	c
24	Spectrogram 1	6	3726.121779766	3800.183504710	0.0	198.2	74.062	0.0	0.0	0.0200	1:02:06.122	sd
25	Spectrogram 1	6	3556.634370761	3615.232658628	0.0	233.5	58.598	0.0	0.0	0.0169	0:59:16.634	c
26	Spectrogram 1	6	3817.681604559	3862.037253014	0.0	458.1	44.356	0.0	0.0	0.0085	1:03:37.682	sd
27	Spectrogram 1	6	3956.161202901	4004.993109457	110.1	207.0	48.832	113.3	117.2	0.4583	1:05:56.161	c
28	Spectrogram 1	6	4182.619169555	4242.438255087	57.3	348.0	59.819	121.1	89.8	0.3108	1:09:42.619	su
29	Spectrogram 1	6	4247.321445742	4310.599457988	101.3	237.9	63.278	128.9	113.3	0.5000	1:10:47.321	c
30	Spectrogram 1	6	4117.519977518	4166.758816629	101.3	220.3	49.239	175.8	117.2	0.6000	1:08:37.520	c
31	Spectrogram 1	6	4428.122029766	4479.192065373	74.9	471.4	51.070	117.2	113.3	0.5600	1:13:48.122	su
32	Spectrogram 1	6	4722.944665599	4783.374149962	88.1	237.9	60.429	97.7	101.6	0.2973	1:18:42.945	sd
33	Spectrogram 1	6	4539.631566440	4610.437830947	88.1	242.3	70.806	179.7	113.3	0.5897	1:15:39.632	su
34	Spectrogram 1	6	4613.082892552	4661.304400276	35.2	207.0	48.222	85.9	70.3	0.5581	1:16:53.083	c
35	Spectrogram 1	6	4933.044393557	4989.201086096	35.2	480.2	56.157	82.0	82.0	0.4554	1:22:13.044	su
36	Spectrogram 1	6	4969.668323474	5011.175444047	39.6	220.3	41.507	97.7	78.1	0.4444	1:22:49.668	c
37	Spectrogram 1	6	5291.551974190	5352.998789940	52.9	255.5	61.447	89.8	85.9	0.4510	1:28:11.552	su
38	Spectrogram 1	6	5059.733138719	5142.340447310	53.3	200.0	82.607	175.8	78.1	0.6216	1:24:19.733	su
