Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Q1 Freq (Hz)	Q3 Freq Rel.	Begin Clock Time	calltype
1	Spectrogram 1	6	137.113331387	172.923396194	0.0	185.0	35.810	0.0	0.0	0.0213	0:02:17.113	c
2	Spectrogram 1	6	182.079378674	250.647514130	0.0	220.3	68.568	0.0	0.0	0.0179	0:03:02.079	c
3	Spectrogram 1	6	335.086019216	396.736301243	0.0	585.9	61.650	0.0	0.0	0.0067	0:05:35.086	su
4	Spectrogram 1	6	294.189297476	344.648934250	0.0	220.3	50.460	0.0	0.0	0.0179	0:04:54.189	c
5	Spectrogram 1	6	434.784495102	491.958519028	0.0	378.9	57.174	0.0	0.0	0.0104	0:07:14.784	su
6	Spectrogram 1	6	514.746742087	565.613311417	0.0	202.6	50.867	0.0	0.0	0.0196	0:08:34.747	c
7	Spectrogram 1	6	744.379232668	794.838869442	0.0	193.8	50.460	3.9	0.0	0.0204	0:12:24.379	c
9	Spectrogram 1	6	1092.306566880	1151.311787302	0.0	682.8	59.005	3.9	0.0	0.0057	0:18:12.307	su
10	Spectrogram 1	6	789.345279955	843.467309721	0.0	242.3	54.122	0.0	0.0	0.0161	0:13:09.345	c
11	Spectrogram 1	6	1157.741771665	1227.734171063	0.0	189.4	69.992	0.0	0.0	0.0208	0:19:17.742	su
12	Spectrogram 1	6	1390.100260362	1445.850020347	0.0	233.5	55.750	0.0	0.0	0.0169	0:23:10.100	c
13	Spectrogram 1	6	1529.678126601	1581.562027317	0.0	290.7	51.884	0.0	0.0	0.0135	0:25:29.678	c
14	Spectrogram 1	6	1715.361901281	1774.774054258	0.0	603.5	59.412	0.0	0.0	0.0065	0:28:35.362	su
15	Spectrogram 1	6	2018.323188206	2074.886813301	0.0	211.5	56.564	0.0	0.0	0.0185	0:33:38.323	sd
16	Spectrogram 1	6	1878.338389412	1928.594559910	0.0	299.6	50.256	0.0	0.0	0.0132	0:31:18.338	sd
17	Spectrogram 1	6	2327.100931488	2387.123483297	0.0	599.1	60.023	0.0	0.0	0.0065	0:38:47.101	su
18	Spectrogram 1	6	2568.944527882	2614.927906556	0.0	242.3	45.983	7.8	0.0	0.0161	0:42:48.945	sd
19	Spectrogram 1	6	2881.468729842	2944.746742087	0.0	497.8	63.278	0.0	0.0	0.0079	0:48:01.469	c
20	Spectrogram 1	6	3044.852150528	3102.026174454	0.0	581.5	57.174	0.0	0.0	0.0068	0:50:44.852	su
21	Spectrogram 1	6	3119.239871515	3165.833649020	0.0	295.2	46.594	0.0	0.0	0.0133	0:51:59.240	c
22	Spectrogram 1	6	3227.483931047	3266.752922570	0.0	242.3	39.269	3.9	0.0	0.0161	0:53:47.484	c
23	Spectrogram 1	6	3355.464219480	3404.499592313	0.0	356.8	49.035	0.0	0.0	0.0110	0:55:55.464	c
24	Spectrogram 1	6	3553.717381692	3592.095500000	0.0	193.8	38.378	3.9	0.0	0.0204	0:59:13.717	c
25	Spectrogram 1	6	3626.400364356	3701.886353240	0.0	198.2	75.486	0.0	0.0	0.0200	1:00:26.400	c
26	Spectrogram 1	6	3824.169585908	3875.239621515	0.0	440.5	51.070	3.9	0.0	0.0089	1:03:44.170	c
27	Spectrogram 1	6	3960.288525433	4021.938807460	30.8	211.5	61.650	89.8	66.4	0.5435	1:06:00.289	c
28	Spectrogram 1	6	3759.713350858	3810.783386464	0.0	458.1	51.070	0.0	0.0	0.0085	1:02:39.713	su
29	Spectrogram 1	6	4044.973071656	4096.936927280	0.0	295.2	51.964	3.9	0.0	0.0133	1:07:24.973	c
30	Spectrogram 1	6	4326.853820648	4396.439287491	0.0	242.3	69.585	0.0	0.0	0.0161	1:12:06.854	sd
31	Spectrogram 1	6	4418.413645441	4480.063927468	0.0	550.7	61.650	0.0	0.0	0.0071	1:13:38.414	su
32	Spectrogram 1	6	4269.725496733	4317.133139348	0.0	233.5	47.408	0.0	0.0	0.0169	1:11:09.725	c
33	Spectrogram 1	6	4212.348006529	4256.703654984	132.2	242.3	44.356	164.1	148.4	0.5357	1:10:12.348	c
34	Spectrogram 1	6	4901.565117558	4973.388713451	0.0	493.4	71.824	0.0	0.0	0.0079	1:21:41.565	sd
35	Spectrogram 1	6	4801.663175396	4848.460419179	0.0	198.2	46.797	0.0	0.0	0.0200	1:20:01.663	c
36	Spectrogram 1	6	5115.327238508	5174.128992653	70.5	590.3	58.802	97.7	101.6	0.5379	1:25:15.327	su
37	Spectrogram 1	6	5191.627092502	5235.779274680	13.2	237.9	44.152	164.1	23.4	0.6071	1:26:31.627	c
38	Spectrogram 1	6	5371.287815373	5416.457328937	0.0	202.6	45.170	0.0	0.0	0.0196	1:29:31.288	c
39	Spectrogram 1	6	5849.149164280	5914.258373022	30.8	563.9	65.109	85.9	85.9	0.3235	1:37:29.149	sd
40	Spectrogram 1	6	5692.491397511	5753.734746983	0.0	550.7	61.243	3.9	0.0	0.0071	1:34:52.491	su
41	Spectrogram 1	6	6269.022624152	6328.231310852	0.0	497.8	59.209	0.0	0.0	0.0079	1:44:29.023	su
42	Spectrogram 1	6	6842.309657121	6911.284725132	0.0	484.6	68.975	0.0	0.0	0.0081	1:54:02.310	su
43	Spectrogram 1	6	7070.721350038	7127.895373964	0.0	110.1	57.174	0.0	0.0	0.0357	1:57:50.721	c
44	Spectrogram 1	6	7914.618531839	7951.852860588	0.0	511.0	37.234	0.0	0.0	0.0077	2:11:54.619	su
45	Spectrogram 1	6	7787.045175961	7837.911745290	0.0	436.1	50.867	0.0	0.0	0.0090	2:09:47.045	su
46	Spectrogram 1	6	8542.150124341	8604.207338922	17.6	497.8	62.057	39.1	43.0	0.3115	2:22:22.150	su
47	Spectrogram 1	6	9346.371382065	9409.038995479	0.0	246.7	62.668	0.0	0.0	0.0159	2:35:46.371	su
48	Spectrogram 1	6	10250.413645441	10315.522854182	0.0	489.0	65.109	168.0	0.0	0.0080	2:50:50.414	sd
49	Spectrogram 1	6	10754.522144122	10799.284725132	0.0	198.2	44.763	0.0	0.0	0.0200	2:59:14.522	c
50	Spectrogram 1	6	10780.362361341	10830.618531839	0.0	317.2	50.256	0.0	0.0	0.0123	2:59:40.362	c
51	Spectrogram 1	6	10939.188587415	10991.479420686	0.0	193.8	52.291	0.0	0.0	0.0204	3:02:19.189	c
52	Spectrogram 1	6	11463.033314996	11514.306816880	123.3	193.8	51.274	164.1	148.4	0.7059	3:11:03.033	c
53	Spectrogram 1	6	11645.746032027	11669.755052751	26.4	418.5	24.009	171.9	136.7	0.4500	3:14:05.746	c
54	Spectrogram 1	6	11581.968429224	11616.964628922	8.8	458.1	34.996	43.0	62.5	0.6316	3:13:01.968	c
55	Spectrogram 1	6	11745.962248741	11764.274213700	35.2	656.4	18.312	199.2	168.0	0.4937	3:15:45.962	c
56	Spectrogram 1	6	11720.122031522	11741.485990640	22.0	414.1	21.364	31.2	97.7	0.5700	3:15:20.122	c
57	Spectrogram 1	6	11815.751181861	11846.271123459	0.0	475.8	30.520	0.0	0.0	0.0992	3:16:55.751	sd
58	Spectrogram 1	6	12160.841709683	12195.024044273	30.8	524.2	34.182	164.1	144.5	0.5000	3:22:40.842	sd
59	Spectrogram 1	6	11850.250683308	11900.303387528	114.5	211.5	50.053	117.2	144.5	0.6667	3:17:30.251	c
60	Spectrogram 1	6	11883.212220234	11903.762314243	4.4	352.4	20.550	85.9	93.8	0.5682	3:18:03.212	c
61	Spectrogram 1	6	12036.218860776	12062.059077995	0.0	405.3	25.840	0.0	0.0	0.0485	3:20:36.219	su
62	Spectrogram 1	6	12068.366532592	12087.695828937	39.6	528.6	19.329	70.3	136.7	0.4435	3:21:08.367	su
63	Spectrogram 1	6	11951.780355690	12001.019194800	0.0	193.8	49.239	0.0	0.0	0.0204	3:19:11.780	sd
64	Spectrogram 1	6	12090.544356820	12114.960310098	57.3	599.1	24.416	156.2	152.3	0.4348	3:21:30.544	su
65	Spectrogram 1	6	12622.120802939	12674.208169932	48.5	400.9	52.087	152.3	93.8	0.4157	3:30:22.121	c
66	Spectrogram 1	6	12291.284636021	12319.769914846	22.0	511.0	28.485	97.7	101.6	0.3629	3:24:51.285	sd
67	Spectrogram 1	6	12450.191798606	12480.304807649	22.0	674.0	30.113	156.2	109.4	0.2892	3:27:30.192	su
68	Spectrogram 1	6	12261.171626978	12287.418776752	26.4	489.0	26.247	168.0	105.5	0.4068	3:24:21.172	sd
69	Spectrogram 1	6	12542.768954785	12564.336380181	8.8	480.2	21.567	43.0	101.6	0.5042	3:29:02.769	sd
70	Spectrogram 1	6	12909.944648832	12937.819528824	13.2	422.9	27.875	171.9	82.0	0.5673	3:35:09.945	sd
71	Spectrogram 1	6	12673.720300867	12697.932787867	35.2	559.5	24.212	97.7	89.8	0.4511	3:31:13.720	c
72	Spectrogram 1	6	12700.577849472	12723.366072532	39.6	533.0	22.788	97.7	93.8	0.4800	3:31:40.578	c
73	Spectrogram 1	6	12730.080459683	12742.695368877	35.2	555.1	12.615	164.1	93.8	0.3636	3:32:10.080	c
74	Spectrogram 1	6	12762.635064054	12782.981691786	30.8	511.0	20.347	195.3	97.7	0.5574	3:32:42.635	c
75	Spectrogram 1	6	12798.038196307	12817.977891485	35.2	418.5	19.940	85.9	85.9	0.4227	3:33:18.038	c
76	Spectrogram 1	6	12823.268014695	12847.277035418	39.6	427.3	24.009	97.7	85.9	0.3163	3:33:43.268	c
77	Spectrogram 1	6	12855.822619066	12864.775135268	13.2	387.7	8.953	85.9	85.9	0.4842	3:34:15.823	c
78	Spectrogram 1	6	12871.896454974	12877.796977016	70.5	467.0	5.901	82.0	109.4	0.4800	3:34:31.896	c
