Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Q1 Freq (Hz)	Q3 Freq Rel.	Begin Clock Time	calltype
1	Spectrogram 1	6	10.173313866	80.776112095	92.5	277.5	70.603	93.8	125.0	0.4043	0:00:10.173	c
2	Spectrogram 1	6	553.143871515	606.248569894	39.6	489.0	53.105	50.8	62.5	0.2105	0:09:13.144	su
3	Spectrogram 1	6	676.240969292	718.561954974	61.7	489.0	42.321	62.5	66.4	0.1284	0:11:16.241	c
4	Spectrogram 1	6	1195.705222052	1239.857404230	132.2	273.1	44.152	171.9	156.2	0.3429	0:19:55.705	c
5	Spectrogram 1	6	1241.688600726	1299.879956039	26.4	577.1	58.191	27.3	50.8	0.1571	0:20:41.689	su
6	Spectrogram 1	6	1351.153457923	1461.635646506	92.5	462.6	110.482	168.0	117.2	0.2128	0:22:31.153	sd
7	Spectrogram 1	6	1895.249029955	1955.475048041	39.6	577.1	60.226	54.7	58.6	0.1912	0:31:35.249	su
8	Spectrogram 1	6	1700.674535914	1749.709908748	52.9	229.1	49.035	58.6	58.6	0.4091	0:28:20.675	c
9	Spectrogram 1	6	1928.353300232	1982.882262553	61.7	233.5	54.529	179.7	78.1	0.5814	0:32:08.353	c
10	Spectrogram 1	6	2269.139111153	2326.923533911	74.9	581.5	57.784	117.2	101.6	0.1484	0:37:49.139	su
11	Spectrogram 1	6	2073.404552374	2128.747379804	101.3	361.2	55.343	144.5	132.8	0.4697	0:34:33.405	c
12	Spectrogram 1	6	2352.560284853	2400.985258855	66.1	224.7	48.425	66.4	74.2	0.6000	0:39:12.560	c
13	Spectrogram 1	6	2179.195116863	2219.481439771	70.5	207.0	40.286	78.1	78.1	0.4412	0:36:19.195	c
14	Spectrogram 1	6	2557.980288433	2617.392441409	48.5	497.8	59.412	74.2	74.2	0.2544	0:42:37.980	su
15	Spectrogram 1	6	2875.794613602	2942.124620008	66.1	621.1	66.330	70.3	74.2	0.1549	0:47:55.795	su
16	Spectrogram 1	6	2989.858258666	3060.054124341	44.1	427.3	70.196	54.7	62.5	0.2371	0:49:49.858	c
17	Spectrogram 1	6	3254.567885456	3311.741909382	123.3	237.9	57.174	179.7	168.0	0.5000	0:54:14.568	c
18	Spectrogram 1	6	3156.603572851	3219.067719987	0.0	515.4	62.464	11.7	7.8	0.0229	0:52:36.604	su
19	Spectrogram 1	6	3476.061724943	3536.287743029	22.0	524.2	60.226	23.4	43.0	0.2344	0:57:56.062	su
20	Spectrogram 1	6	3737.719357573	3796.928044273	52.9	502.2	59.209	93.8	89.8	0.2719	1:02:17.719	su
21	Spectrogram 1	6	3592.851368124	3671.389351168	22.0	502.2	78.538	23.4	50.8	0.2869	0:59:52.851	sd
22	Spectrogram 1	6	4218.429234363	4286.590437265	13.2	563.9	68.161	171.9	54.7	0.2857	1:10:18.429	sd
23	Spectrogram 1	6	4103.904637022	4181.425288680	0.0	572.7	77.521	0.0	0.0	0.1781	1:08:23.905	su
24	Spectrogram 1	6	4365.358803375	4421.515495915	0.0	541.9	56.157	3.9	0.0	0.0870	1:12:45.359	su
25	Spectrogram 1	6	4834.037253014	4900.774191974	13.2	559.5	66.737	15.6	19.5	0.1151	1:20:34.037	sd
26	Spectrogram 1	6	5523.587868623	5632.645793265	30.8	515.4	109.058	175.8	54.7	0.2927	1:32:03.588	sd
27	Spectrogram 1	6	5900.771601733	5962.218417483	96.9	229.1	61.447	171.9	132.8	0.5758	1:38:20.772	c
28	Spectrogram 1	6	6185.624389977	6252.971727769	61.7	546.3	67.347	70.3	109.4	0.2276	1:43:05.624	sd
29	Spectrogram 1	6	6267.214367182	6317.470537679	61.7	215.9	50.256	62.5	78.1	0.7692	1:44:27.214	c
30	Spectrogram 1	6	6913.261390919	6959.244769593	48.5	224.7	45.983	70.3	82.0	0.7500	1:55:13.261	c
31	Spectrogram 1	6	6981.626060098	7048.769931613	0.0	550.7	67.144	7.8	3.9	0.0286	1:56:21.626	sd
32	Spectrogram 1	6	7573.225058026	7623.074295968	92.5	193.8	49.849	97.7	132.8	0.8800	2:06:13.225	c
