Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Q1 Freq (Hz)	Q3 Freq Rel.	Begin Clock Time	calltype
1	Spectrogram 1	6	359.321445742	436.435164846	0.0	211.5	77.114	0.0	0.0	0.0185	0:05:59.321	c
2	Spectrogram 1	6	240.490256409	306.413330260	0.0	198.2	65.923	0.0	0.0	0.0200	0:04:00.490	sd
3	Spectrogram 1	6	456.367976642	535.516358519	0.0	489.0	79.148	0.0	0.0	0.0080	0:07:36.368	su
4	Spectrogram 1	6	750.854868310	806.197695740	52.9	224.7	55.343	156.2	85.9	0.6047	0:12:30.855	c
5	Spectrogram 1	6	1109.339737189	1187.674253956	0.0	207.0	78.335	0.0	0.0	0.0189	0:18:29.340	su
6	Spectrogram 1	6	1570.720317634	1632.777532216	0.0	475.8	62.057	0.0	0.0	0.1736	0:26:10.720	su
7	Spectrogram 1	6	2776.503070271	2835.101358139	30.8	515.4	58.598	171.9	121.1	0.5528	0:46:16.503	su
8	Spectrogram 1	6	3077.348757913	3131.877720234	0.0	207.0	54.529	0.0	0.0	0.0189	0:51:17.349	c
9	Spectrogram 1	6	3370.950596081	3427.107288621	0.0	440.5	56.157	0.0	0.0	0.0089	0:56:10.951	c
10	Spectrogram 1	6	3905.826952588	3941.999500000	0.0	436.1	36.173	0.0	0.0	0.0090	1:05:05.827	c
11	Spectrogram 1	6	4183.026102110	4264.819545592	0.0	198.2	81.793	0.0	0.0	0.0200	1:09:43.026	c
12	Spectrogram 1	6	4032.461056895	4081.496429729	0.0	189.4	49.035	0.0	0.0	0.0208	1:07:12.461	c
13	Spectrogram 1	6	4537.383420686	4612.259010739	0.0	215.9	74.876	0.0	0.0	0.0182	1:15:37.383	su
14	Spectrogram 1	6	4810.435164846	4875.340907310	35.2	198.2	64.906	171.9	82.0	0.7750	1:20:10.435	c
15	Spectrogram 1	6	4979.638171063	5048.613239073	0.0	546.3	68.975	0.0	0.0	0.0072	1:22:59.638	su
16	Spectrogram 1	6	5577.077591184	5639.338272043	0.0	541.9	62.261	0.0	0.0	0.1377	1:32:57.078	su
17	Spectrogram 1	6	5635.879345329	5687.152847213	0.0	207.0	51.274	0.0	0.0	0.0189	1:33:55.879	c
18	Spectrogram 1	6	6110.748799925	6176.468407498	0.0	378.9	65.720	0.0	0.0	0.0104	1:41:50.749	su
19	Spectrogram 1	6	5910.537983044	5942.278722306	30.8	202.6	31.741	164.1	78.1	0.7907	1:38:30.538	c
20	Spectrogram 1	6	5985.820505652	6023.258300678	26.4	220.3	37.438	93.8	85.9	0.5714	1:39:45.821	c
21	Spectrogram 1	6	6017.561244913	6063.748089864	22.0	207.0	46.187	160.2	74.2	0.7234	1:40:17.561	c
22	Spectrogram 1	6	6338.793805201	6393.485988885	0.0	193.8	54.692	0.0	0.0	0.0204	1:45:38.794	c
23	Spectrogram 1	6	6514.548423888	6536.115849284	127.8	198.2	21.567	171.9	156.2	0.5882	1:48:34.548	c
24	Spectrogram 1	6	6565.255351860	6615.714988635	0.0	202.6	50.460	0.0	0.0	0.0196	1:49:25.255	c
25	Spectrogram 1	6	7084.579996420	7134.022301809	0.0	193.8	49.442	0.0	0.0	0.0204	1:58:04.580	c
26	Spectrogram 1	6	6856.901232102	6933.608018651	92.5	233.5	76.707	183.6	132.8	0.6000	1:54:16.901	c
27	Spectrogram 1	6	7214.594947626	7308.189435192	0.0	467.0	93.594	0.0	0.0	0.1513	2:00:14.595	c
28	Spectrogram 1	6	7356.940405237	7455.214617182	0.0	207.0	98.274	0.0	0.0	0.0189	2:02:36.940	c
29	Spectrogram 1	6	7746.781792577	7815.756860588	0.0	224.7	68.975	0.0	0.0	0.0175	2:09:06.782	c
30	Spectrogram 1	6	7914.764001130	8000.016371326	0.0	189.4	85.252	0.0	0.0	0.0208	2:11:54.764	sd
31	Spectrogram 1	6	7808.351138093	7879.360868877	0.0	427.3	71.010	0.0	0.0	0.0092	2:10:08.351	sd
32	Spectrogram 1	6	8272.740691158	8315.999500000	96.9	193.8	43.259	171.9	136.7	0.7500	2:17:52.741	c
33	Spectrogram 1	6	8328.736938960	8396.491209307	0.0	436.1	67.754	0.0	0.0	0.0901	2:18:48.737	su
34	Spectrogram 1	6	8612.165463263	8697.010900904	0.0	215.9	84.845	0.0	0.0	0.1091	2:23:32.165	sd
35	Spectrogram 1	6	8904.058634702	8982.393151469	0.0	480.2	78.335	0.0	0.0	0.0082	2:28:24.059	su
36	Spectrogram 1	6	9448.478506037	9512.163450837	0.0	590.3	63.685	0.0	0.0	0.0066	2:37:28.479	su
37	Spectrogram 1	6	10058.567885456	10136.698935946	0.0	555.1	78.131	0.0	0.0	0.1338	2:47:38.568	su
38	Spectrogram 1	6	9939.336646948	9983.488829126	101.3	242.3	44.152	171.9	121.1	0.5000	2:45:39.337	c
39	Spectrogram 1	6	10223.031245670	10270.702276187	141.0	193.8	47.671	168.0	156.2	0.5000	2:50:23.031	c
40	Spectrogram 1	6	10585.057674642	10651.387681047	0.0	414.1	66.330	0.0	0.0	0.1604	2:56:25.058	su
41	Spectrogram 1	6	10420.046523738	10480.679474378	0.0	405.3	60.633	0.0	0.0	0.1456	2:53:40.047	sd
42	Spectrogram 1	6	11038.910002826	11066.174483986	0.0	493.4	27.264	0.0	0.0	0.1905	3:03:58.910	c
