Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Q1 Freq (Hz)	Q3 Freq Rel.	calltype
1	Spectrogram 1	6	0.000000000	49.849237943	0.0	312.8	49.849	0.0	0.0	0.0125	SU
2	Spectrogram 1	6	66.330006405	134.084276752	0.0	176.2	67.754	121.1	0.0	0.0222	C
3	Spectrogram 1	6	192.072165787	258.605638470	0.0	383.3	66.533	0.0	0.0	0.0102	SU
4	Spectrogram 1	6	265.116559344	333.074295968	0.0	387.7	67.958	0.0	0.0	0.0101	C
5	Spectrogram 1	6	434.089977829	491.467468032	0.0	356.8	57.377	62.5	0.0	0.0110	C
6	Spectrogram 1	6	484.346148326	539.999500000	0.0	180.6	55.653	0.0	0.0	0.0217	SD
8	Spectrogram 1	6	611.131760550	635.751180106	0.0	352.4	24.619	0.0	0.0	0.0111	C
9	Spectrogram 1	6	783.060764883	834.334266767	0.0	383.3	51.274	0.0	0.0	0.0102	C
10	Spectrogram 1	6	895.150025372	962.497363164	0.0	370.0	67.347	0.0	0.0	0.0106	SU
11	Spectrogram 1	6	699.822399147	763.710810225	0.0	273.1	63.888	0.0	0.0	0.0145	C
12	Spectrogram 1	6	1248.917603429	1343.529422381	114.5	198.2	94.612	121.1	121.1	0.3500	C
13	Spectrogram 1	6	1597.170933685	1670.418793519	0.0	400.9	73.248	0.0	0.0	0.0098	SU
14	Spectrogram 1	6	2001.784422758	2109.011150904	0.0	392.1	107.227	0.0	0.0	0.0100	SU
15	Spectrogram 1	6	2492.464147136	2570.391731349	0.0	326.0	77.928	54.7	0.0	0.0120	SU
16	Spectrogram 1	6	2804.784882818	2878.439675207	0.0	237.9	73.655	3.9	0.0	0.0167	SU
17	Spectrogram 1	6	2920.272791824	2954.455126413	0.0	259.9	34.182	0.0	0.0	0.0152	C
18	Spectrogram 1	6	3222.420213640	3316.218167483	0.0	418.5	93.798	0.0	0.0	0.0093	SU
19	Spectrogram 1	6	2979.481478523	3112.141491334	0.0	224.7	132.660	0.0	0.0	0.0175	SU
20	Spectrogram 1	6	3072.872499812	3102.782042577	0.0	356.8	29.910	0.0	0.0	0.0110	C
21	Spectrogram 1	6	3150.910267268	3260.782057019	0.0	246.7	109.872	0.0	0.0	0.0159	SU
22	Spectrogram 1	6	3373.909307208	3455.999500000	0.0	220.3	82.090	0.0	0.0	0.0179	SU
24	Spectrogram 1	6	3488.473167860	3587.357778636	0.0	215.9	98.885	0.0	0.0	0.0182	SU
25	Spectrogram 1	6	3750.991619694	3812.845367998	0.0	449.3	61.854	3.9	0.0	0.0087	SU
26	Spectrogram 1	6	3837.206850724	3919.814159315	0.0	317.2	82.607	0.0	0.0	0.0123	C
27	Spectrogram 1	6	3613.393945675	3726.724662141	0.0	189.4	113.331	0.0	0.0	0.0208	SU
28	Spectrogram 1	6	4213.342577430	4323.621299736	0.0	211.5	110.279	0.0	0.0	0.0185	SD
29	Spectrogram 1	6	4110.178291450	4182.001887343	66.1	189.4	71.824	125.0	93.8	0.5161	C
30	Spectrogram 1	6	4667.601838169	4739.832366616	0.0	462.6	72.231	0.0	0.0	0.0085	SD
