Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	score	rating	tags	notes
1	Spectrogram 1	7	127.3643121	128.0096323	25.85170341	468.3366733				
2	Spectrogram 1	7	132.3424965	133.1030524	0	487.5751503				
3	Spectrogram 1	7	143.8199771	144.3731087	21.04208417	535.6713427				
4	Spectrogram 1	7	214.2117347	215.0183849	9.018036072	541.6833667				
5	Spectrogram 1	7	234.9253607	235.6859166	15.03006012	556.1122244				
6	Spectrogram 1	7	282.5062016	282.9440975	6.613226453	541.6833667				
7	Spectrogram 1	7	337.3468948	337.7847906	21.64328657	422.0440882				
8	Spectrogram 1	7	371.6295303	372.3209448	0.601202405	464.7294589				
9	Spectrogram 1	7	373.9572924	375.2709799	4.208416834	433.4669339				
10	Spectrogram 1	7	430.4573804	431.0566063	1.803607214	545.2905812				
11	Spectrogram 1	7	478.752683	479.374956	63.12625251	467.1342685				
12	Spectrogram 1	7	510.6211295	511.1742611	0	523.6472946				
13	Spectrogram 1	7	571.0622801	571.7306474	22.24448898	474.3486974				
14	Spectrogram 1	7	655.0230471	655.8066502	5.410821643	473.1462926				
15	Spectrogram 1	7	652.1882477	652.9027094	11.42284569	498.3967936				
16	Spectrogram 1	7	718.736893	719.7048733	9.018036072	426.252505				
17	Spectrogram 1	7	841.7337702	842.471279	0	379.3587174				
18	Spectrogram 1	7	854.426988	855.5332512	12.6252505	473.1462926				
19	Spectrogram 1	7	1026.272299	1027.009808	0	404.6092184				
20	Spectrogram 1	7	1181.506378	1182.289981	1.803607214	293.987976				
21	Spectrogram 1	7	1189.987729	1190.817426	3.006012024	315.6312625				
22	Spectrogram 1	7	1314.009294	1314.746803	47.49498998	388.9779559				
23	Spectrogram 1	7	1363.456954	1364.517123	21.04208417	432.2645291				
24	Spectrogram 1	7	1527.702468	1528.486071	53.50701403	376.9539078				
25	Spectrogram 1	7	1645.484927	1646.176342	45.09018036	394.98998				
26	Spectrogram 1	7	1830.795536	1831.394762	64.32865731	171.3426854				
27	Spectrogram 1	7	1862.220325	1863.372682	0	267.5350701				
28	Spectrogram 1	7	1876.00252	1876.786123	7.815631263	319.238477				
29	Spectrogram 1	7	1876.740029	1878.076764	11.42284569	398.5971944				
30	Spectrogram 1	7	1903.301869	1903.924142	25.85170341	455.1102204				
31	Spectrogram 1	7	1975.260833	1976.090531	6.613226453	243.4869739				
32	Spectrogram 1	7	2002.289378	2002.957746	117.2344689	439.4789579				
33	Spectrogram 1	7	2038.790302	2039.343433	7.815631263	464.7294589				
34	Spectrogram 1	7	2106.514352	2107.251861	9.018036072	385.3707415				
35	Spectrogram 1	7	2233.976614	2234.714123	18.63727455	413.0260521				
36	Spectrogram 1	7	2243.702512	2244.255643	0	382.9659319				
37	Spectrogram 1	7	2261.483388	2262.451368	0	209.8196393				
38	Spectrogram 1	7	2298.81977	2299.649468	12.6252505	397.3947896				
39	Spectrogram 1	7	2457.840017	2458.432984	6.108597285	425.5656109				
40	Spectrogram 1	7	2471.432635	2472.208053	8.823529412	341.4027149				
41	Spectrogram 1	7	2527.855686	2528.494265	7.466063348	270.8144796				
42	Spectrogram 1	7	2550.388415	2551.072608	6.108597285	220.5882353				
43	Spectrogram 1	7	2551.848025	2552.486605	6.108597285	219.2307692				
44	Spectrogram 1	7	2558.644335	2559.191688	6.108597285	232.8054299				
45	Spectrogram 1	7	2560.19517	2560.924975	0	255.8823529				
46	Spectrogram 1	7	2577.254362	2578.166619	0	221.9457014				
47	Spectrogram 1	7	2601.246702	2602.067733	0.678733032	340.0452489				
48	Spectrogram 1	7	2603.025602	2603.572956	3.393665158	322.39819				
49	Spectrogram 1	7	2680.020031	2680.841062	14.25339367	216.5158371				
50	Spectrogram 1	7	2682.163833	2682.802413	11.53846154	158.1447964				
51	Spectrogram 1	7	2682.939251	2683.532218	3.393665158	144.5701357				
52	Spectrogram 1	7	2708.482427	2709.34907	18.32579186	440.4977376				
53	Spectrogram 1	7	2907.856034	2908.585839	6.108597285	406.561086				
54	Spectrogram 1	7	3218.479293	3219.391549	7.466063348	430.9954751				
55	Spectrogram 1	7	3392.081661	3392.948304	0.678733032	257.239819				
56	Spectrogram 1	7	3749.914181	3750.826438	0	515.158371				
57	Spectrogram 1	7	3868.051368	3868.872399	0	297.9638009				
58	Spectrogram 1	7	4388.447956	4389.223374	0	265.3846154				
59	Spectrogram 1	7	4389.542663	4390.45492	0	272.1719457				
60	Spectrogram 1	7	4394.83375	4395.65478	0	356.3348416				
61	Spectrogram 1	7	4438.074697	4438.804502	16.96832579	502.9411765				
62	Spectrogram 1	7	4493.996006	4494.862649	11.53846154	411.9909502				
63	Spectrogram 1	7	4495.592454	4496.413485	4.751131222	399.7737557				
64	Spectrogram 1	7	4497.46258	4498.28361	4.751131222	444.5701357				
65	Spectrogram 1	7	4642.534133	4643.218325	57.69230769	483.9366516				
66	Spectrogram 1	7	4711.318255	4712.276124	0	266.7420814				
67	Spectrogram 1	7	4926.154606	4926.975637	8.823529412	436.4253394				
68	Spectrogram 1	7	4943.533088	4944.445344	0	360.4072398				
69	Spectrogram 1	7	5214.290748	5215.157392	34.61538462	361.7647059				
70	Spectrogram 1	7	5414.576612	5415.123966	18.32579186	270.8144796				
71	Spectrogram 1	7	5857.887545	5858.480511	12.8959276	414.7058824				
72	Spectrogram 1	7	6268.630929	6269.178283	30.54298643	441.8552036				
73	Spectrogram 1	7	6388.273339	6389.459272	2.036199095	378.0542986				
74	Spectrogram 1	7	6687.082879	6687.90391	10.18099548	454.0723982				
75	Spectrogram 1	7	7408.039007	7409.042489	4.751131222	369.9095023				
76	Spectrogram 1	7	7755.699871	7756.748966	11.53846154	463.5746606				
77	Spectrogram 1	7	7757.341932	7758.43664	0	456.7873303				
78	Spectrogram 1	7	8438.386849	8439.207879	4.751131222	296.6063348				
79	Spectrogram 1	7	8469.996528	8471.00001	4.751131222	315.6108597				
80	Spectrogram 1	7	9169.058506	9169.697085	68.70748299	456.462585				
81	Spectrogram 1	7	9173.756626	9174.532044	0.680272109	331.292517				
82	Spectrogram 1	7	9300.651472	9301.472503	2.040816327	438.7755102				
83	Spectrogram 1	7	9616.93072	9617.934202	0	497.2789116				
84	Spectrogram 1	7	9620.032392	9620.762197	0	408.8435374				
85	Spectrogram 1	7	9731.464495	9732.148687	0	290.4761905				
86	Spectrogram 1	7	10005.68873	10006.37292	3.401360544	377.5510204				
87	Spectrogram 1	7	10223.4443	10224.40217	0	498.6394558				
88	Spectrogram 1	7	10291.22494	10292.09158	6.12244898	456.462585				
89	Spectrogram 1	7	10452.10133	10452.87675	2.040816327	475.5102041				
90	Spectrogram 1	7	10941.02508	10942.02856	21.08843537	459.1836735				
91	Spectrogram 1	7	11033.25419	11034.07522	7.482993197	399.3197279				
92	Spectrogram 1	7	11035.48922	11036.1278	2.040816327	346.2585034				
93	Spectrogram 1	7	11307.93455	11308.57313	0	404.7619048				
94	Spectrogram 1	7	11587.40426	11588.08845	0	278.2312925				
95	Spectrogram 1	7	11589.04632	11590.0498	2.040816327	223.8095238				
96	Spectrogram 1	7	12343.48225	12344.48573	0.680272109	279.5918367				
97	Spectrogram 1	7	13252.22633	13253.09298	11.56462585	363.9455782				
98	Spectrogram 1	7	13921.73121	13922.32417	10.20408163	372.1088435				
99	Spectrogram 1	7	13925.01533	13926.06443	0.680272109	380.2721088				
100	Spectrogram 1	7	14460.23608	14460.87466	14.28571429	347.6190476				
101	Spectrogram 1	7	14487.46693	14488.28796	0	363.9455782				
102	Spectrogram 1	7	14499.00697	14499.55433	0	240.1360544				
103	Spectrogram 1	7	14527.10447	14527.74305	10.20408163	436.0544218				
104	Spectrogram 1	7	15193.05154	15193.82696	26.53061224	208.8435374				
105	Spectrogram 1	7	15294.17515	15294.85934	4.761904762	325.8503401				
