Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	score	rating	tags	notes
1	Spectrogram 1	7	2.28166784	7.075475018	7.715430862	465.0300601				
2	Spectrogram 1	7	9.080577058	11.80014075	7.715430862	465.0300601				
3	Spectrogram 1	7	13.10921816	16.98574947	7.715430862	465.0300601				
4	Spectrogram 1	7	17.73282231	21.32817769	4.909819639	514.1282565				
5	Spectrogram 1	7	22.78171816	26.94211823	7.715430862	465.0300601				
6	Spectrogram 1	7	27.59315236	30.86584764	11.9238477	493.0861723				
7	Spectrogram 1	7	32.10971816	36.02269529	7.715430862	467.1342685				
8	Spectrogram 1	7	36.23456685	37.73394616	9.118236473	500.1002004				
9	Spectrogram 1	7	39.25556685	41.14543315	9.118236473	500.1002004				
10	Spectrogram 1	7	41.8132917	44.64584764	11.9238477	493.0861723				
11	Spectrogram 1	7	45.35971816	48.42782372	7.715430862	465.0300601				
12	Spectrogram 1	7	49.02704961	52.2997449	4.909819639	514.1282565				
13	Spectrogram 1	7	52.93871816	56.97255454	7.715430862	465.0300601				
14	Spectrogram 1	7	57.11182231	60.70717769	4.909819639	514.1282565				
15	Spectrogram 1	7	61.88159747	64.33293315	9.118236473	500.1002004				
16	Spectrogram 1	7	67.63706685	69.18754398	9.118236473	500.1002004				
17	Spectrogram 1	7	70.52315236	73.79584764	11.9238477	493.0861723				
18	Spectrogram 1	7	74.27121816	79.23610134	7.715430862	465.0300601				
19	Spectrogram 1	7	79.7143297	82.68741203	4.008016032	461.3226453				
20	Spectrogram 1	7	83.37882653	88.26482231	7.715430862	465.0300601				
21	Spectrogram 1	7	92.63571816	96.72312632	7.715430862	465.0300601				
22	Spectrogram 1	7	101.2634148	105.2736189	7.715430862	465.0300601				
23	Spectrogram 1	7	105.6596587	109.1468476	11.9238477	493.0861723				
24	Spectrogram 1	7	110.0197182	113.5705929	7.715430862	465.0300601				
25	Spectrogram 1	7	113.9278223	117.5231777	4.909819639	514.1282565				
26	Spectrogram 1	7	118.1051196	122.1383709	9.118236473	500.1002004				
27	Spectrogram 1	7	128.7701882	131.6741291	3.306613226	512.5250501				
28	Spectrogram 1	7	137.9429539	140.6625176	14.82965932	472.1442886				
29	Spectrogram 1	7	133.7483726	136.2835591	7.615230461	498.5971944				
30	Spectrogram 1	7	141.5844036	143.5895056	9.118236473	497.1943888				
