Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Freq 25% (Hz)	Begin Clock Time	Begin Path	Begin File	File Offset (s)	calltype
1	Waveform 1	6	359.321445742	436.435164846	0.000	211.500	77.1137			0:05:59.3214	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	359.3215	c
1	Spectrogram 1	6	359.321445742	436.435164846	0.000	211.500	77.1137	0.000	0.000	0:05:59.3214	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	359.3215	c
2	Waveform 1	6	240.490256409	306.413330260	0.000	198.200	65.9231			0:04:00.4903	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	240.4905	sd
2	Spectrogram 1	6	240.490256409	306.413330260	0.000	198.200	65.9231	0.000	0.000	0:04:00.4903	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	240.4905	sd
3	Waveform 1	6	456.367976642	535.516358519	0.000	489.000	79.1484			0:07:36.3680	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	456.3680	su
3	Spectrogram 1	6	456.367976642	535.516358519	0.000	489.000	79.1484	0.000	0.000	0:07:36.3680	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	456.3680	su
4	Waveform 1	6	750.854868310	806.197695740	52.900	224.700	55.3428			0:12:30.8549	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	750.8550	c
4	Spectrogram 1	6	750.854868310	806.197695740	52.900	224.700	55.3428	156.250	85.938	0:12:30.8549	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161223_000000.aif	750.8550	c
5	Waveform 1	6	1109.339737189	1187.674253956	0.000	207.000	78.3345			0:18:29.3397	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161223_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161223_001500.aif	209.3395	su
5	Spectrogram 1	6	1109.339737189	1187.674253956	0.000	207.000	78.3345	0.000	0.000	0:18:29.3397	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161223_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161223_001500.aif	209.3395	su
6	Waveform 1	6	1570.720317634	1632.777532216	0.000	475.800	62.0572			0:26:10.7203	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161223_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161223_001500.aif	670.7205	su
6	Spectrogram 1	6	1570.720317634	1632.777532216	0.000	475.800	62.0572	0.000	0.000	0:26:10.7203	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161223_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161223_001500.aif	670.7205	su
7	Waveform 1	6	2776.503070271	2835.101358139	30.800	515.400	58.5983			0:46:16.5031	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161223_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161223_004500.aif	76.5030	su
7	Spectrogram 1	6	2776.503070271	2835.101358139	30.800	515.400	58.5983	171.875	121.094	0:46:16.5031	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161223_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161223_004500.aif	76.5030	su
