Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Freq 25% (Hz)	Begin Clock Time	Begin Path	Begin File	File Offset (s)	calltype
1	Waveform 1	6	279.969597589	373.157152600	0.000	224.700	93.1876			0:04:39.9696	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	279.9695	sd
1	Spectrogram 1	6	279.969597589	373.157152600	0.000	224.700	93.1876	132.812	0.000	0:04:39.9696	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	279.9695	sd
2	Waveform 1	6	552.126540128	605.841637340	0.000	449.300	53.7151			0:09:12.1265	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	552.1265	sd
2	Spectrogram 1	6	552.126540128	605.841637340	0.000	449.300	53.7151	156.250	0.000	0:09:12.1265	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	552.1265	sd
3	Waveform 1	6	939.945789567	988.574229846	0.000	215.900	48.6284			0:15:39.9458	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161225_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161225_001500.aif	39.9460	c
3	Spectrogram 1	6	939.945789567	988.574229846	0.000	215.900	48.6284	167.969	3.906	0:15:39.9458	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161225_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161225_001500.aif	39.9460	c
4	Waveform 1	6	637.187968919	675.846561609	66.100	207.000	38.6586			0:10:37.1880	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	637.1880	c
4	Spectrogram 1	6	637.187968919	675.846561609	66.100	207.000	38.6586	167.969	93.750	0:10:37.1880	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	637.1880	c
5	Waveform 1	6	771.246571022	814.788354368	118.900	215.900	43.5418			0:12:51.2466	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	771.2465	c
5	Spectrogram 1	6	771.246571022	814.788354368	118.900	215.900	43.5418	128.906	132.812	0:12:51.2466	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161225_000000.aif	771.2465	c
6	Waveform 1	6	1100.590687265	1145.556734552	79.300	215.900	44.9660			0:18:20.5907	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161225_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161225_001500.aif	200.5905	c
