Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Freq 25% (Hz)	Begin Path	Begin File	File Offset (s)	calltype
1	Waveform 1	6	4098.180664469	4129.514471176	96.900	198.200	31.3338			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_010000.aif	498.1805	c
1	Spectrogram 1	6	4098.180664469	4129.514471176	96.900	198.200	31.3338	160.156	136.719	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_010000.aif	498.1805	c
2	Waveform 1	6	19428.686824981	19476.094467596	101.300	198.200	47.4076			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_051500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_051500.aif	528.6870	c
2	Spectrogram 1	6	19428.686824981	19476.094467596	101.300	198.200	47.4076	167.969	128.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_051500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_051500.aif	528.6870	c
3	Waveform 1	6	19998.840927280	20051.538693105	79.300	246.700	52.6978			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_053000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_053000.aif	198.8410	c
3	Spectrogram 1	6	19998.840927280	20051.538693105	79.300	246.700	52.6978	85.938	113.281	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_053000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_053000.aif	198.8410	c
4	Waveform 1	6	20560.326916164	20615.059344763	118.900	220.300	54.7324			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_053000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_053000.aif	760.3270	c
4	Spectrogram 1	6	20560.326916164	20615.059344763	118.900	220.300	54.7324	121.094	144.531	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_053000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_053000.aif	760.3270	c
5	Waveform 1	6	24090.917603429	24138.935644876	110.100	207.000	48.0180			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_063000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_063000.aif	690.9175	c
5	Spectrogram 1	6	24090.917603429	24138.935644876	110.100	207.000	48.0180	113.281	136.719	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_063000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_063000.aif	690.9175	c
6	Waveform 1	6	24363.074545968	24393.594487566	52.900	189.400	30.5199			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_064500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_064500.aif	63.0745	c
6	Spectrogram 1	6	24363.074545968	24393.594487566	52.900	189.400	30.5199	74.219	78.125	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_064500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_064500.aif	63.0745	c
