Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Freq 25% (Hz)	Begin Clock Time	Begin Path	Begin File	File Offset (s)	calltype
1	Waveform 1	6	10.173313866	80.776112095	92.500	277.500	70.6028			0:00:10.1733	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161227_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161227_000000.aif	10.1735	c
1	Spectrogram 1	6	10.173313866	80.776112095	92.500	277.500	70.6028	93.750	125.000	0:00:10.1733	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161227_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161227_000000.aif	10.1735	c
2	Waveform 1	6	553.143871515	606.248569894	39.600	489.000	53.1047			0:09:13.1439	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161227_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161227_000000.aif	553.1440	su
2	Spectrogram 1	6	553.143871515	606.248569894	39.600	489.000	53.1047	50.781	62.500	0:09:13.1439	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161227_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161227_000000.aif	553.1440	su
3	Waveform 1	6	676.240969292	718.561954974	61.700	489.000	42.3210			0:11:16.2410	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161227_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161227_000000.aif	676.2410	c
3	Spectrogram 1	6	676.240969292	718.561954974	61.700	489.000	42.3210	62.500	66.406	0:11:16.2410	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161227_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161227_000000.aif	676.2410	c
4	Waveform 1	6	1195.705222052	1239.857404230	132.200	273.100	44.1522			0:19:55.7052	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161227_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161227_001500.aif	295.7050	c
4	Spectrogram 1	6	1195.705222052	1239.857404230	132.200	273.100	44.1522	171.875	156.250	0:19:55.7052	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161227_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161227_001500.aif	295.7050	c
5	Waveform 1	6	1241.688600726	1299.879956039	26.400	577.100	58.1914			0:20:41.6886	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161227_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161227_001500.aif	341.6885	su
5	Spectrogram 1	6	1241.688600726	1299.879956039	26.400	577.100	58.1914	27.344	50.781	0:20:41.6886	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161227_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161227_001500.aif	341.6885	su
6	Waveform 1	6	1351.153457923	1461.635646506	92.500	462.600	110.4822			0:22:31.1535	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161227_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161227_001500.aif	451.1535	sd
6	Spectrogram 1	6	1351.153457923	1461.635646506	92.500	462.600	110.4822	167.969	117.188	0:22:31.1535	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161227_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161227_001500.aif	451.1535	sd
7	Waveform 1	6	1895.249029955	1955.475048041	39.600	577.100	60.2260			0:31:35.2490	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161227_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161227_003000.aif	95.2490	su
7	Spectrogram 1	6	1895.249029955	1955.475048041	39.600	577.100	60.2260	54.688	58.594	0:31:35.2490	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161227_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161227_003000.aif	95.2490	su
8	Waveform 1	6	1700.674535914	1749.709908748	52.900	229.100	49.0354			0:28:20.6745	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161227_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161227_001500.aif	800.6745	c
