Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Freq 25% (Hz)	Begin Clock Time	Begin Path	Begin File	File Offset (s)	calltype
1	Waveform 1	6	3.865859269	43.134850791	79.300	193.800	39.2690			0:00:03.8659	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	3.8660	c
1	Spectrogram 1	6	3.865859269	43.134850791	79.300	193.800	39.2690	167.969	117.188	0:00:03.8659	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	3.8660	c
2	Waveform 1	6	455.154062359	509.886490957	4.400	502.200	54.7324			0:07:35.1541	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	455.1540	su
2	Spectrogram 1	6	455.154062359	509.886490957	4.400	502.200	54.7324	23.438	27.344	0:07:35.1541	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	455.1540	su
3	Waveform 1	6	617.235748870	671.968177468	4.400	264.300	54.7324			0:10:17.2357	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	617.2355	su
3	Spectrogram 1	6	617.235748870	671.968177468	4.400	264.300	54.7324	23.438	23.438	0:10:17.2357	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	617.2355	su
4	Waveform 1	6	796.693005463	850.408102675	0.000	215.900	53.7151			0:13:16.6930	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	796.6930	c
4	Spectrogram 1	6	796.693005463	850.408102675	0.000	215.900	53.7151	0.000	0.000	0:13:16.6930	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_000000.aif	796.6930	c
5	Waveform 1	6	1223.543168677	1278.682529830	0.000	229.100	55.1394			0:20:23.5432	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_001500.aif	323.5430	su
5	Spectrogram 1	6	1223.543168677	1278.682529830	0.000	229.100	55.1394	0.000	0.000	0:20:23.5432	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_001500.aif	323.5430	su
6	Waveform 1	6	1396.279154740	1443.076398523	0.000	211.500	46.7972			0:23:16.2792	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_001500.aif	496.2790	c
6	Spectrogram 1	6	1396.279154740	1443.076398523	0.000	211.500	46.7972	27.344	0.000	0:23:16.2792	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_001500.aif	496.2790	c
7	Waveform 1	6	1547.728628297	1602.257590618	0.000	215.900	54.5290			0:25:47.7286	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_001500.aif	647.7285	c
7	Spectrogram 1	6	1547.728628297	1602.257590618	0.000	215.900	54.5290	0.000	0.000	0:25:47.7286	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_001500.aif	647.7285	c
8	Waveform 1	6	2332.620589676	2387.149551997	0.000	202.600	54.5290			0:38:52.6206	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_003000.aif	532.6205	c
8	Spectrogram 1	6	2332.620589676	2387.149551997	0.000	202.600	54.5290	27.344	3.906	0:38:52.6206	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_003000.aif	532.6205	c
9	Waveform 1	6	2728.078096270	2786.879850414	35.200	524.200	58.8018			0:45:28.0781	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	28.0780	su
9	Spectrogram 1	6	2728.078096270	2786.879850414	35.200	524.200	58.8018	39.062	42.969	0:45:28.0781	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	28.0780	su
10	Waveform 1	6	2918.645061605	2989.247859834	0.000	215.900	70.6028			0:48:38.6451	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	218.6450	c
10	Spectrogram 1	6	2918.645061605	2989.247859834	0.000	215.900	70.6028	0.000	3.906	0:48:38.6451	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	218.6450	c
11	Waveform 1	6	3217.130090430	3291.598747928	44.100	524.200	74.4687			0:53:37.1301	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	517.1300	su
11	Spectrogram 1	6	3217.130090430	3291.598747928	44.100	524.200	74.4687	46.875	50.781	0:53:37.1301	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	517.1300	su
12	Waveform 1	6	3039.910962886	3104.613239073	74.900	387.700	64.7023			0:50:39.9110	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	339.9110	c
12	Spectrogram 1	6	3039.910962886	3104.613239073	74.900	387.700	64.7023	171.875	93.750	0:50:39.9110	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	339.9110	c
13	Waveform 1	6	3534.863479088	3587.764711191	17.600	524.200	52.9012			0:58:54.8635	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	834.8635	su
13	Spectrogram 1	6	3534.863479088	3587.764711191	17.600	524.200	52.9012	27.344	23.438	0:58:54.8635	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_004500.aif	834.8635	su
14	Waveform 1	6	3789.806724567	3840.266361341	66.100	616.700	50.4596			1:03:09.8067	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_010000.aif	189.8065	su
14	Spectrogram 1	6	3789.806724567	3840.266361341	66.100	616.700	50.4596	66.406	85.938	1:03:09.8067	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_010000.aif	189.8065	su
15	Waveform 1	6	6628.896471741	6684.239299171	26.400	581.500	55.3428			1:50:28.8965	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_014500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_014500.aif	328.8965	su
15	Spectrogram 1	6	6628.896471741	6684.239299171	26.400	581.500	55.3428	35.156	35.156	1:50:28.8965	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_014500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_014500.aif	328.8965	su
16	Waveform 1	6	7232.093047476	7272.786302939	39.600	541.900	40.6933			2:00:32.0930	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_020000.aif	32.0930	su
16	Spectrogram 1	6	7232.093047476	7272.786302939	39.600	541.900	40.6933	50.781	58.594	2:00:32.0930	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_020000.aif	32.0930	su
17	Waveform 1	6	7647.897181801	7694.287493029	114.500	215.900	46.3903			2:07:27.8972	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_020000.aif	447.8970	c
17	Spectrogram 1	6	7647.897181801	7694.287493029	114.500	215.900	46.3903	179.688	160.156	2:07:27.8972	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_020000.aif	447.8970	c
18	Waveform 1	6	7986.791063301	8039.692295403	127.800	211.500	52.9012			2:13:06.7911	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_020000.aif	786.7910	c
18	Spectrogram 1	6	7986.791063301	8039.692295403	127.800	211.500	52.9012	175.781	152.344	2:13:06.7911	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_020000.aif	786.7910	c
19	Waveform 1	6	8748.894801620	8800.778702336	70.500	511.000	51.8839			2:25:48.8948	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_021500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_021500.aif	648.8950	c
19	Spectrogram 1	6	8748.894801620	8800.778702336	70.500	511.000	51.8839	136.719	125.000	2:25:48.8948	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_021500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_021500.aif	648.8950	c
20	Waveform 1	6	9777.987889035	9833.534182743	105.700	489.000	55.5463			2:42:57.9879	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_023000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_023000.aif	777.9880	c
20	Spectrogram 1	6	9777.987889035	9833.534182743	105.700	489.000	55.5463	125.000	128.906	2:42:57.9879	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_023000.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_023000.aif	777.9880	c
21	Waveform 1	6	9909.223637905	9956.020881688	39.600	246.700	46.7972			2:45:09.2236	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_024500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_024500.aif	9.2235	c
21	Spectrogram 1	6	9909.223637905	9956.020881688	39.600	246.700	46.7972	54.688	54.688	2:45:09.2236	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_024500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_024500.aif	9.2235	c
22	Waveform 1	6	10286.369179540	10355.344247551	8.800	427.300	68.9751			2:51:26.3692	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_024500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_024500.aif	386.3690	c
22	Spectrogram 1	6	10286.369179540	10355.344247551	8.800	427.300	68.9751	35.156	39.062	2:51:26.3692	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_024500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_024500.aif	386.3690	c
23	Waveform 1	6	10390.543913527	10442.427814243	26.400	224.700	51.8839			2:53:10.5439	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_024500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_024500.aif	490.5440	c
23	Spectrogram 1	6	10390.543913527	10442.427814243	26.400	224.700	51.8839	46.875	42.969	2:53:10.5439	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_024500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_024500.aif	490.5440	c
24	Waveform 1	6	10745.104698380	10812.248569894	44.100	515.400	67.1439			2:59:05.1047	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161224_024500.aif	79296_Brunswick03_002K_M06_UTCm5_20161224_024500.aif	845.1045	c
