Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Freq 25% (Hz)	Begin Clock Time	Begin Path	Begin File	File Offset (s)	calltype
1	Waveform 1	6	1590.660012811	1630.742869442	66.100	193.800	40.0829			0:26:30.6600	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_001500.aif	690.6600	c
1	Spectrogram 1	6	1590.660012811	1630.742869442	66.100	193.800	40.0829	128.906	82.031	0:26:30.6600	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_001500.aif	690.6600	c
2	Waveform 1	6	1811.827856255	1886.703446307	17.600	220.300	74.8756			0:30:11.8279	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	11.8280	sd
2	Spectrogram 1	6	1811.827856255	1886.703446307	17.600	220.300	74.8756	167.969	46.875	0:30:11.8279	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	11.8280	sd
3	Waveform 1	6	1672.615605944	1734.062421693	57.300	224.700	61.4468			0:27:52.6156	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_001500.aif	772.6155	c
3	Spectrogram 1	6	1672.615605944	1734.062421693	57.300	224.700	61.4468	148.438	85.938	0:27:52.6156	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_001500.aif	772.6155	c
6	Waveform 1	6	2034.949425961	2083.781332517	35.200	198.200	48.8319			0:33:54.9494	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	234.9495	c
6	Spectrogram 1	6	2034.949425961	2083.781332517	35.200	198.200	48.8319	54.688	46.875	0:33:54.9494	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	234.9495	c
7	Waveform 1	6	2123.864189148	2173.916893369	22.000	233.500	50.0527			0:35:23.8642	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	323.8640	c
7	Spectrogram 1	6	2123.864189148	2173.916893369	22.000	233.500	50.0527	23.438	27.344	0:35:23.8642	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	323.8640	c
8	Waveform 1	6	2472.931384514	2528.070745667	0.000	207.000	55.1394			0:41:12.9314	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	672.9315	sd
8	Spectrogram 1	6	2472.931384514	2528.070745667	0.000	207.000	55.1394	0.000	0.000	0:41:12.9314	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_003000.aif	672.9315	sd
9	Waveform 1	6	2702.034412773	2755.139111153	17.600	202.600	53.1047			0:45:02.0344	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_004500.aif	2.0345	c
9	Spectrogram 1	6	2702.034412773	2755.139111153	17.600	202.600	53.1047	27.344	27.344	0:45:02.0344	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_004500.aif	2.0345	c
10	Waveform 1	6	3089.963667106	3158.938735117	26.400	220.300	68.9751			0:51:29.9637	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_004500.aif	389.9635	c
10	Spectrogram 1	6	3089.963667106	3158.938735117	26.400	220.300	68.9751	27.344	39.062	0:51:29.9637	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_004500.aif	389.9635	c
11	Waveform 1	6	3307.265651281	3361.387681047	114.500	229.100	54.1220			0:55:07.2657	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_004500.aif	607.2655	c
11	Spectrogram 1	6	3307.265651281	3361.387681047	114.500	229.100	54.1220	117.188	132.812	0:55:07.2657	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_004500.aif	607.2655	c
12	Waveform 1	6	3872.414033157	3919.821675772	127.800	211.500	47.4076			1:04:32.4140	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_010000.aif	272.4140	c
12	Spectrogram 1	6	3872.414033157	3919.821675772	127.800	211.500	47.4076	167.969	160.156	1:04:32.4140	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_010000.aif	272.4140	c
13	Waveform 1	6	4521.309584778	4564.037503014	101.300	198.200	42.7279			1:15:21.3096	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_011500.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_011500.aif	21.3095	c
13	Spectrogram 1	6	4521.309584778	4564.037503014	101.300	198.200	42.7279	101.562	105.469	1:15:21.3096	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_011500.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_011500.aif	21.3095	c
14	Waveform 1	6	5071.604928410	5119.216037302	105.700	237.900	47.6111			1:24:31.6049	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161221_011500.aif	79296_Brunswick03_002K_M06_UTCm5_20161221_011500.aif	571.6050	c
