Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	Begin Date	pulse train type
1	Spectrogram 1	1	188.055769930	237.524255594	255.4	381.0	4:03:08.056	2017/2/1	SU
2	Spectrogram 1	1	1474.867117249	1522.069870746	90.9	419.9	4:24:34.867	2017/2/1	SU
3	Spectrogram 1	1	3749.566984864	3789.972541857	116.9	562.8	5:02:29.567	2017/2/1	SU
4	Spectrogram 1	1	6955.656255772	6996.942930830	73.6	385.3	5:55:55.656	2017/2/1	SU
5	Spectrogram 1	1	10716.293683800	10755.818122727	160.2	372.3	6:58:36.294	2017/2/1	SU
6	Spectrogram 1	1	39966.293600466	40008.209645571	64.9	372.3	15:06:06.294	2017/2/1	SU
7	Spectrogram 1	1	41624.667300941	41675.142778680	95.2	398.3	15:33:44.667	2017/2/1	SU
8	Spectrogram 1	1	42286.411445764	42334.206922955	77.9	398.3	15:44:46.411	2017/2/1	SU
9	Spectrogram 1	1	43092.746531161	43169.655550858	103.9	402.6	15:58:12.747	2017/2/1	SU
10	Spectrogram 1	1	43569.285256613	43619.131364305	155.8	428.6	16:06:09.285	2017/2/1	SU
11	Spectrogram 1	1	44049.198240769	44084.191215361	138.5	484.8	16:14:09.198	2017/2/1	SU
12	Spectrogram 1	1	44798.097822378	44845.174701865	95.2	385.3	16:26:38.098	2017/2/1	SU
13	Spectrogram 1	1	45698.349637063	45747.818122727	95.2	181.8	16:41:38.350	2017/2/1	SD
14	Spectrogram 1	1	46950.293433800	46995.608077156	99.6	173.2	17:02:30.293	2017/2/1	SD
15	Spectrogram 1	1	47454.145617660	47502.607111250	103.9	177.5	17:10:54.146	2017/2/1	SD
16	Spectrogram 1	1	47892.587167599	47939.286425058	99.6	177.5	17:18:12.587	2017/2/1	SD
17	Spectrogram 1	1	48429.980413905	48474.539813206	86.6	346.3	17:27:09.980	2017/2/1	SU
18	Spectrogram 1	1	48675.398531585	48719.957930886	86.6	190.5	17:31:15.399	2017/2/1	SU
19	Spectrogram 1	1	49144.783162354	49194.125774009	103.9	194.8	17:39:04.783	2017/2/1	SD
20	Spectrogram 1	1	49677.104797786	49719.398464918	99.6	190.5	17:47:57.105	2017/2/1	SD
21	Spectrogram 1	1	49867.958641041	49903.958607707	294.4	450.2	17:51:07.959	2017/2/1	SU
22	Spectrogram 1	1	49919.566984864	49961.105407941	95.2	333.3	17:51:59.567	2017/2/1	SU
23	Spectrogram 1	1	50202.846134095	50252.314619760	99.6	181.8	17:56:42.846	2017/2/1	SD
24	Spectrogram 1	1	50654.769128205	50712.167676457	77.9	359.3	18:04:14.769	2017/2/1	SU
25	Spectrogram 1	1	51153.985899184	51200.559282634	90.9	186.1	18:12:33.986	2017/2/1	SD
26	Spectrogram 1	1	51702.797029837	51751.384397436	95.2	190.5	18:21:42.797	2017/2/1	SD
27	Spectrogram 1	1	52245.440334033	52309.510204779	77.9	411.3	18:30:45.440	2017/2/1	SU
28	Spectrogram 1	1	52336.885854851	52383.459238301	90.9	190.5	18:32:16.886	2017/2/1	SD
29	Spectrogram 1	1	52493.783154811	52528.524381384	277.1	432.9	18:34:53.783	2017/2/1	SU
30	Spectrogram 1	1	53156.224420281	53187.441174594	207.8	432.9	18:45:56.224	2017/2/1	SU
31	Spectrogram 1	1	53333.077403381	53392.741683801	103.9	363.6	18:48:53.077	2017/2/1	SD
32	Spectrogram 1	1	53710.111656527	53756.307417949	86.6	376.6	18:55:10.112	2017/2/1	SU
33	Spectrogram 1	1	54454.657321678	54503.118815268	69.3	385.3	19:07:34.657	2017/2/1	SU
34	Spectrogram 1	1	55890.000000000	55951.552390559	90.9	428.6	19:31:30.000	2017/2/1	SU
35	Spectrogram 1	1	56474.181727273	56529.314543357	121.2	402.6	19:41:14.182	2017/2/1	SU
36	Spectrogram 1	1	56595.272524242	56643.356395804	103.9	424.2	19:43:15.273	2017/2/1	SU
37	Spectrogram 1	1	57957.860025175	58002.671172494	86.6	376.6	20:05:57.860	2017/2/1	SU
38	Spectrogram 1	1	58058.055736597	58111.174568531	121.2	571.4	20:07:38.056	2017/2/1	SU
39	Spectrogram 1	1	58537.006792075	58583.454301515	103.9	203.5	20:15:37.007	2017/2/1	SD
40	Spectrogram 1	1	58605.046958439	58637.900074872	73.6	528.1	20:16:45.047	2017/2/1	C
41	Spectrogram 1	1	58650.109853777	58699.074843404	77.9	398.3	20:17:30.110	2017/2/1	SU
42	Spectrogram 1	1	58821.230755128	58880.013917483	90.9	372.3	20:20:21.231	2017/2/1	SU
43	Spectrogram 1	1	59000.475344406	59062.531231002	90.9	199.1	20:23:20.475	2017/2/1	SD
44	Spectrogram 1	1	59273.252739654	59327.000941636	103.9	376.6	20:27:53.253	2017/2/1	SU
45	Spectrogram 1	1	59394.713191608	59441.790071096	99.6	173.2	20:29:54.713	2017/2/1	SD
46	Spectrogram 1	1	59535.943830070	59624.055636597	103.9	445.9	20:32:15.944	2017/2/1	SU
47	Spectrogram 1	1	59988.461343590	60037.678081235	125.5	363.6	20:39:48.461	2017/2/1	SU
48	Spectrogram 1	1	81211.846107692	81256.531381002	82.3	324.7	2:33:31.846	2017/2/2	SU
