Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	Begin Date	pulse train type
1	Spectrogram 1	1	1087.174718531	1122.293567133	77.9	164.5	4:18:07.175	2017/2/17	SD
2	Spectrogram 1	1	1444.723303919	1489.912073266	77.9	381.0	4:24:04.723	2017/2/17	SU
3	Spectrogram 1	1	1969.174801865	2014.615319231	95.2	372.3	4:32:49.175	2017/2/17	SU
4	Spectrogram 1	1	2685.235288668	2725.514971651	90.9	389.6	4:44:45.235	2017/2/17	
5	Spectrogram 1	1	3032.128581712	3079.708957236	86.6	389.6	4:50:32.129	2017/2/17	
6	Spectrogram 1	1	3331.570381426	3379.024882941	116.9	389.6	4:55:31.570	2017/2/17	SU
7	Spectrogram 1	1	4474.284074006	4517.332985195	90.9	411.3	5:14:34.284	2017/2/17	SU
8	Spectrogram 1	1	5249.643635315	5290.300940326	272.7	346.3	5:27:29.644	2017/2/17	C
9	Spectrogram 1	1	5456.979762511	5502.672027896	103.9	368.0	5:30:56.980	2017/2/17	SU
10	Spectrogram 1	1	5988.224415528	6036.182413080	69.3	385.3	5:39:48.224	2017/2/17	SU
11	Spectrogram 1	1	6092.367593819	6131.262662700	129.9	346.3	5:41:32.368	2017/2/17	C
12	Spectrogram 1	1	6628.972379487	6675.168140909	103.9	372.3	5:50:28.972	2017/2/17	SU
13	Spectrogram 1	1	7360.552571678	7394.916176224	142.9	346.3	6:02:40.553	2017/2/17	SU
14	Spectrogram 1	1	8631.000297786	8676.189067133	95.2	398.3	6:23:51.000	2017/2/17	SU
15	Spectrogram 1	1	10658.077143939	10696.720464802	164.5	389.6	6:57:38.077	2017/2/17	SU
16	Spectrogram 1	1	10711.825345921	10740.146998019	264.1	411.3	6:58:31.825	2017/2/17	SU
17	Spectrogram 1	1	10986.608758275	11023.363968998	142.9	359.3	7:03:06.609	2017/2/17	C
18	Spectrogram 1	1	11166.482717599	11211.797360956	108.2	381.0	7:06:06.483	2017/2/17	SU
19	Spectrogram 1	1	11766.941857467	11811.123634740	90.9	363.6	7:16:06.942	2017/2/17	SU
20	Spectrogram 1	1	12184.552605012	12232.762350583	116.9	381.0	7:23:04.553	2017/2/17	SU
21	Spectrogram 1	1	12751.991894135	12795.796049380	121.2	406.9	7:32:31.992	2017/2/17	SU
22	Spectrogram 1	1	13082.739974148	13130.194475663	125.5	389.6	7:38:02.740	2017/2/17	SU
23	Spectrogram 1	1	13943.517811305	13983.545746270	121.2	406.9	7:52:23.518	2017/2/17	SU
24	Spectrogram 1	1	14353.542940114	14395.458985219	112.6	393.9	7:59:13.543	2017/2/17	SU
25	Spectrogram 1	1	14907.336000699	14941.951353263	268.4	398.3	8:08:27.336	2017/2/17	SU
26	Spectrogram 1	1	17292.650727389	17333.182158392	112.6	411.3	8:48:12.651	2017/2/17	SU
27	Spectrogram 1	1	18582.876142908	18622.526455845	121.2	411.3	9:09:42.876	2017/2/17	SU
28	Spectrogram 1	1	18982.762400583	19026.692429837	138.5	415.6	9:16:22.762	2017/2/17	SU
29	Spectrogram 1	1	20767.783526807	20806.552721678	277.1	445.9	9:46:07.784	2017/2/17	SU
30	Spectrogram 1	1	21717.126205128	21761.056234382	116.9	558.4	10:01:57.126	2017/2/17	SU
31	Spectrogram 1	1	24142.846488811	24189.923368298	242.4	541.1	10:42:22.846	2017/2/17	SU
32	Spectrogram 1	1	25036.585154897	25084.039656412	77.9	532.5	10:57:16.585	2017/2/17	SU
33	Spectrogram 1	1	25574.916442890	25651.447840559	121.2	454.5	11:06:14.916	2017/2/17	SU
34	Spectrogram 1	1	26820.493843113	26866.186108498	86.6	545.5	11:27:00.494	2017/2/17	SU
35	Spectrogram 1	1	27753.042100233	27800.244853730	99.6	558.4	11:42:33.042	2017/2/17	SU
36	Spectrogram 1	1	28071.252045804	28117.196059207	90.9	541.1	11:47:51.252	2017/2/17	SU
37	Spectrogram 1	1	28509.923418298	28549.321983217	251.1	558.4	11:55:09.923	2017/2/17	SU
38	Spectrogram 1	1	28657.573631235	28701.503660490	285.7	363.6	11:57:37.574	2017/2/17	C
39	Spectrogram 1	1	28783.925602140	28829.491993516	77.9	536.8	11:59:43.926	2017/2/17	SU
40	Spectrogram 1	1	29069.811461772	29109.461774709	281.4	389.6	12:04:29.811	2017/2/17	SU
41	Spectrogram 1	1	29183.601566200	29231.433689744	95.2	515.2	12:06:23.602	2017/2/17	SU
42	Spectrogram 1	1	29249.028411692	29297.615779292	199.1	381.0	12:07:29.028	2017/2/17	SU
43	Spectrogram 1	1	29359.320784080	29402.621443288	290.0	368.0	12:09:19.321	2017/2/17	C
44	Spectrogram 1	1	29421.502544686	29476.257738742	225.1	545.5	12:10:21.503	2017/2/17	SU
45	Spectrogram 1	1	30117.587615385	30161.643518648	216.5	346.3	12:21:57.588	2017/2/17	SU
46	Spectrogram 1	1	30070.876342744	30117.449726193	108.2	424.2	12:21:10.876	2017/2/17	SU
47	Spectrogram 1	1	30207.072020832	30267.113923280	242.4	502.2	12:23:27.072	2017/2/17	SU
48	Spectrogram 1	1	30375.686417226	30418.861202424	90.9	415.6	12:26:15.686	2017/2/17	SU
49	Spectrogram 1	1	30922.678679021	30969.881432517	99.6	406.9	12:35:22.679	2017/2/17	SU
50	Spectrogram 1	1	32114.832321329	32163.293814918	86.6	389.6	12:55:14.832	2017/2/17	SU
51	Spectrogram 1	1	33030.818387179	33073.867298368	246.8	376.6	13:10:30.818	2017/2/17	SU
52	Spectrogram 1	1	33400.762550583	33448.217052098	259.7	393.9	13:16:40.763	2017/2/17	SU
53	Spectrogram 1	1	34144.468411256	34187.894944473	121.2	415.6	13:29:04.468	2017/2/17	SU
54	Spectrogram 1	1	37416.398796037	37463.349801515	138.5	493.5	14:23:36.399	2017/2/17	SU
55	Spectrogram 1	1	37942.049108974	37986.734382284	82.3	415.6	14:32:22.049	2017/2/17	SU
56	Spectrogram 1	1	38857.909300816	38903.979188228	86.6	381.0	14:47:37.909	2017/2/17	SU
57	Spectrogram 1	1	39206.580756643	39259.699588578	103.9	411.3	14:53:26.581	2017/2/17	SU
58	Spectrogram 1	1	40221.126171795	40266.440815152	86.6	402.6	15:10:21.126	2017/2/17	SU
59	Spectrogram 1	1	40601.895500000	40646.077277273	86.6	368.0	15:16:41.895	2017/2/17	SU
60	Spectrogram 1	1	41332.342826107	41377.909217483	281.4	376.6	15:28:52.343	2017/2/17	C
61	Spectrogram 1	1	41228.175933342	41273.490576698	99.6	510.8	15:27:08.176	2017/2/17	SU
62	Spectrogram 1	1	41273.994072736	41316.665361896	190.5	359.3	15:27:53.994	2017/2/17	SU
63	Spectrogram 1	1	41684.287006177	41730.986263636	108.2	385.3	15:34:44.287	2017/2/17	SU
64	Spectrogram 1	1	42059.895500000	42107.601749534	116.9	398.3	15:40:59.895	2017/2/17	SU
65	Spectrogram 1	1	42608.203134615	42654.273022028	95.2	510.8	15:50:08.203	2017/2/17	SU
66	Spectrogram 1	1	43049.643735315	43094.580756643	116.9	398.3	15:57:29.644	2017/2/17	SU
67	Spectrogram 1	1	43628.287006177	43677.000247786	103.9	536.8	16:07:08.287	2017/2/17	SU
68	Spectrogram 1	1	44134.424141962	44184.018501635	99.6	415.6	16:15:34.424	2017/2/17	SU
69	Spectrogram 1	1	44718.986196970	44768.328808625	99.6	519.5	16:25:18.986	2017/2/17	SU
70	Spectrogram 1	1	45059.727590210	45104.538737529	64.9	406.9	16:30:59.728	2017/2/17	SU
71	Spectrogram 1	1	45957.713672727	46000.762583916	86.6	454.5	16:45:57.714	2017/2/17	SU
72	Spectrogram 1	1	46926.566822494	46972.762583916	86.6	497.8	17:02:06.567	2017/2/17	SU
73	Spectrogram 1	1	47469.084252681	47516.287006177	64.9	463.2	17:11:09.084	2017/2/17	SU
74	Spectrogram 1	1	47664.692463170	47755.195875874	60.6	484.8	17:14:24.692	2017/2/17	SU
75	Spectrogram 1	1	48363.893606598	48412.103352169	103.9	541.1	17:26:03.894	2017/2/17	SU
76	Spectrogram 1	1	48477.210093357	48528.314941142	246.8	393.9	17:27:57.210	2017/2/17	SU
77	Spectrogram 1	1	48968.119179720	49006.888374592	212.1	385.3	17:36:08.119	2017/2/17	SU
78	Spectrogram 1	1	49389.671686946	49436.622692424	125.5	536.8	17:43:09.672	2017/2/17	SU
79	Spectrogram 1	1	51050.706463986	51097.909217483	86.6	588.7	18:10:50.706	2017/2/17	SU
80	Spectrogram 1	1	51478.804419697	51525.629551165	264.1	337.7	18:17:58.804	2017/2/17	C
