Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	Begin Date	pulse train type
1	Spectrogram 1	1	261.314443357	308.139574825	69.3	372.3	4:04:21.314	2017/1/19	SU
2	Spectrogram 1	1	1541.202720163	1589.160717716	77.9	186.1	4:25:41.203	2017/1/19	SD
3	Spectrogram 1	1	1982.391572844	2038.783129021	82.3	393.9	4:33:02.392	2017/1/19	
4	Spectrogram 1	1	29808.453478739	29855.530358226	116.9	381.0	12:16:48.453	2017/1/19	SU
5	Spectrogram 1	1	30002.047705079	30057.432269182	86.6	173.2	12:20:02.048	2017/1/19	SD
6	Spectrogram 1	1	30204.629303380	30245.160734382	173.2	402.6	12:23:24.629	2017/1/19	SU
7	Spectrogram 1	1	30329.118698601	30378.838932284	99.6	207.8	12:25:29.119	2017/1/19	SD
8	Spectrogram 1	1	30474.039942828	30521.242696324	103.9	359.3	12:27:54.040	2017/1/19	SU
9	Spectrogram 1	1	30642.671305828	30699.440484033	86.6	181.8	12:30:42.671	2017/1/19	SD
10	Spectrogram 1	1	30940.995115304	30997.386671481	103.9	186.1	12:35:40.995	2017/1/19	SD
11	Spectrogram 1	1	30782.897359593	30827.079136865	307.4	393.9	12:33:02.897	2017/1/19	SU
12	Spectrogram 1	1	31182.041885781	31229.748135315	90.9	376.6	12:39:42.042	2017/1/19	SU
13	Spectrogram 1	1	31368.587167599	31426.992707925	95.2	190.5	12:42:48.587	2017/1/19	SD
14	Spectrogram 1	1	31386.964772960	31431.398298252	320.3	411.3	12:43:06.965	2017/1/19	SU
15	Spectrogram 1	1	31798.069737413	31851.314443357	99.6	173.2	12:49:58.070	2017/1/19	SD
16	Spectrogram 1	1	31853.076679487	31898.768944872	86.6	363.6	12:50:53.077	2017/1/19	SU
17	Spectrogram 1	1	32168.013900816	32223.398464918	86.6	173.2	12:56:08.014	2017/1/19	SD
18	Spectrogram 1	1	32589.944030070	32644.573350117	90.9	194.8	13:03:09.944	2017/1/19	SD
19	Spectrogram 1	1	33247.887926807	33287.034743706	303.0	381.0	13:14:07.888	2017/1/19	SU
20	Spectrogram 1	1	33351.091998463	33391.749303475	86.6	350.6	13:15:51.092	2017/1/19	SU
21	Spectrogram 1	1	33740.433375291	33797.580175524	108.2	181.8	13:22:20.433	2017/1/19	SD
22	Spectrogram 1	1	33803.748001981	33847.552157226	311.7	368.0	13:23:23.748	2017/1/19	SU
23	Spectrogram 1	1	34054.111856527	34102.950972145	86.6	186.1	13:27:34.112	2017/1/19	SD
24	Spectrogram 1	1	34097.790137762	34147.510371445	90.9	355.0	13:28:17.790	2017/1/19	SU
26	Spectrogram 1	1	34324.087271415	34377.206103350	108.2	186.1	13:32:04.087	2017/1/19	SD
27	Spectrogram 1	1	34436.642813636	34482.712701049	298.7	398.3	13:33:56.643	2017/1/19	SU
28	Spectrogram 1	1	34610.474820513	34669.257982867	95.2	186.1	13:36:50.475	2017/1/19	SD
