Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	Begin Date	pulse train type
1	Spectrogram 1	1	28758.335586247	28802.265615501	69.3	419.9	11:59:18.336	2017/2/10	SU
2	Spectrogram 1	1	29313.567194661	29372.853853052	47.6	480.5	12:08:33.567	2017/2/10	SU
3	Spectrogram 1	1	29873.454334848	29933.118615268	69.3	359.3	12:17:53.454	2017/2/10	SU
4	Spectrogram 1	1	31222.343202605	31284.776711229	86.6	355.0	12:40:22.343	2017/2/10	SU
5	Spectrogram 1	1	41327.622361305	41385.398531585	82.3	463.2	15:28:47.622	2017/2/10	SU
6	Spectrogram 1	1	43331.664263753	43370.181710606	95.2	359.3	16:02:11.664	2017/2/10	SU
7	Spectrogram 1	1	47383.929845921	47434.405323660	168.8	337.7	17:09:43.930	2017/2/10	SU
8	Spectrogram 1	1	56501.551663452	56553.285881285	69.3	376.6	19:41:41.552	2017/2/10	SU
9	Spectrogram 1	1	66153.398548252	66209.790104429	103.9	381.0	22:22:33.399	2017/2/10	SU
10	Spectrogram 1	1	69502.027968298	69553.762186131	86.6	402.6	23:18:22.028	2017/2/10	SU
11	Spectrogram 1	1	70552.195728089	70597.006875408	99.6	381.0	23:35:52.196	2017/2/10	SU
12	Spectrogram 1	1	71028.377555361	71087.034843706	95.2	372.3	23:43:48.378	2017/2/10	SU
13	Spectrogram 1	1	72186.922837179	72242.055653263	73.6	372.3	0:03:06.923	2017/2/11	SU
14	Spectrogram 1	1	72953.999950000	73013.160734382	95.2	393.9	0:15:54.000	2017/2/11	SU
15	Spectrogram 1	1	79446.209578904	79476.922837179	268.4	406.9	2:04:06.210	2017/2/11	SU
16	Spectrogram 1	1	80399.706099534	80439.230538462	77.9	389.6	2:19:59.706	2017/2/11	SU
17	Spectrogram 1	1	81714.964972960	81771.734151165	168.8	363.6	2:41:54.965	2017/2/11	SU
18	Spectrogram 1	1	82413.188552681	82458.880818065	121.2	359.3	2:53:33.189	2017/2/11	SU
19	Spectrogram 1	1	83122.615369231	83161.006942075	90.9	398.3	3:05:22.615	2017/2/11	SU
20	Spectrogram 1	1	83269.745861149	83312.039528282	103.9	510.8	3:07:49.746	2017/2/11	SU
