Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	Begin Date	pulse train type
1	Spectrogram 1	1	277.174568531	332.055636597	86.6	419.9	4:04:37.175	2017/2/14	SU
2	Spectrogram 1	1	985.594393007	1039.720217016	125.5	398.3	4:16:25.594	2017/2/14	SU
3	Spectrogram 1	1	1649.076746154	1708.489278555	82.3	406.9	4:27:29.077	2017/2/14	SU
4	Spectrogram 1	1	2497.216720979	2547.692198718	103.9	381.0	4:41:37.217	2017/2/14	SU
5	Spectrogram 1	1	3209.166821732	3260.649291546	86.6	458.9	4:53:29.167	2017/2/14	SU
6	Spectrogram 1	1	3920.601606061	3973.216941958	121.2	493.5	5:05:20.602	2017/2/14	SU
7	Spectrogram 1	1	4299.144706558	4358.557238959	69.3	372.3	5:11:39.145	2017/2/14	SU
8	Spectrogram 1	1	4625.254979722	4683.157024011	103.9	541.1	5:17:05.255	2017/2/14	SU
9	Spectrogram 1	1	4851.692553030	4914.000187646	86.6	562.8	5:20:51.693	2017/2/14	SU
10	Spectrogram 1	1	5274.086983774	5332.996020138	69.3	528.1	5:27:54.087	2017/2/14	SU
11	Spectrogram 1	1	5597.779206314	5660.590336966	86.6	393.9	5:33:17.779	2017/2/14	SU
12	Spectrogram 1	1	6186.363217398	6250.558962154	86.6	519.5	5:43:06.363	2017/2/14	SU
13	Spectrogram 1	1	6783.231026107	6846.419778788	86.6	346.3	5:53:03.231	2017/2/14	SU
14	Spectrogram 1	1	7365.672151089	7432.133628013	77.9	450.2	6:02:45.672	2017/2/14	SU
15	Spectrogram 1	1	8039.076917133	8083.888064452	116.9	385.3	6:13:59.077	2017/2/14	SU
16	Spectrogram 1	1	8669.881906008	8734.707020810	86.6	346.3	6:24:29.882	2017/2/14	SU
17	Spectrogram 1	1	8859.239522050	8907.701015640	177.5	381.0	6:27:39.240	2017/2/14	SU
18	Spectrogram 1	1	9418.153913287	9482.475532051	86.6	346.3	6:36:58.154	2017/2/14	SU
19	Spectrogram 1	1	10117.569553424	10183.527534310	95.2	363.6	6:48:37.570	2017/2/14	SU
20	Spectrogram 1	1	10277.119052914	10328.727396737	134.2	402.6	6:51:17.119	2017/2/14	SU
21	Spectrogram 1	1	10785.106453427	10844.267237810	82.3	372.3	6:59:45.106	2017/2/14	SU
22	Spectrogram 1	1	11833.678402214	11881.762273776	164.5	368.0	7:17:13.678	2017/2/14	SU
23	Spectrogram 1	1	13176.755431702	13228.112027506	147.2	554.1	7:39:36.755	2017/2/14	SU
24	Spectrogram 1	1	16126.967627781	16173.037515194	82.3	510.8	8:28:46.968	2017/2/14	SU
25	Spectrogram 1	1	18722.769232517	18757.258711072	134.2	381.0	9:12:02.769	2017/2/14	SU
26	Spectrogram 1	1	19437.608631469	19500.042140093	151.5	389.6	9:23:57.609	2017/2/14	SU
27	Spectrogram 1	1	20132.937108974	20184.041956760	134.2	350.6	9:35:32.937	2017/2/14	SU
28	Spectrogram 1	1	20898.126111655	20954.014171795	90.9	342.0	9:48:18.126	2017/2/14	SU
29	Spectrogram 1	1	21574.699361772	21627.062949650	90.9	368.0	9:59:34.699	2017/2/14	SU
30	Spectrogram 1	1	22337.370884266	22385.203007809	103.9	363.6	10:12:17.371	2017/2/14	SU
31	Spectrogram 1	1	23826.210016550	23890.028139277	90.9	523.8	10:37:06.210	2017/2/14	SU
32	Spectrogram 1	1	24512.853187413	24550.741264219	82.3	372.3	10:48:32.853	2017/2/14	SU
33	Spectrogram 1	1	25193.417759475	25255.599520081	64.9	342.0	10:59:53.418	2017/2/14	SU
34	Spectrogram 1	1	25893.818293706	25947.566495688	64.9	398.3	11:11:33.818	2017/2/14	SU
35	Spectrogram 1	1	27249.734472145	27307.007146387	82.3	393.9	11:34:09.734	2017/2/14	SU
36	Spectrogram 1	1	27989.848562513	28047.247110765	64.9	381.0	11:46:29.849	2017/2/14	SU
37	Spectrogram 1	1	28715.916282751	28774.447697086	99.6	372.3	11:58:35.916	2017/2/14	SU
38	Spectrogram 1	1	29396.265753147	29457.314647669	86.6	385.3	12:09:56.266	2017/2/14	SU
39	Spectrogram 1	1	30101.790475408	30163.594613986	69.3	363.6	12:21:41.790	2017/2/14	SU
40	Spectrogram 1	1	30869.728429025	30934.679417836	73.6	385.3	12:34:29.728	2017/2/14	SU
41	Spectrogram 1	1	31585.091151282	31640.853337413	99.6	368.0	12:46:25.091	2017/2/14	SU
42	Spectrogram 1	1	32287.216825291	32342.475515385	121.2	381.0	12:58:07.217	2017/2/14	SU
43	Spectrogram 1	1	32819.826859243	32857.714936050	160.2	515.2	13:06:59.827	2017/2/14	SU
44	Spectrogram 1	1	33651.036632168	33704.281338112	99.6	389.6	13:20:51.037	2017/2/14	SU
45	Spectrogram 1	1	35089.148538695	35162.029590093	112.6	355.0	13:44:49.149	2017/2/14	SU
46	Spectrogram 1	1	35778.686811772	35830.421029604	86.6	346.3	13:56:18.687	2017/2/14	SU
47	Spectrogram 1	1	36487.484258275	36539.973720163	77.9	363.6	14:08:07.484	2017/2/14	SU
48	Spectrogram 1	1	37151.218359441	37211.889631935	99.6	372.3	14:19:11.218	2017/2/14	SU
49	Spectrogram 1	1	38575.350741323	38632.623415566	121.2	376.6	14:42:55.351	2017/2/14	SU
50	Spectrogram 1	1	39084.267320629	39142.169364918	272.7	368.0	14:51:24.267	2017/2/14	SU
51	Spectrogram 1	1	39425.638083916	39487.190474476	177.5	389.6	14:57:05.638	2017/2/14	SU
52	Spectrogram 1	1	40132.798718298	40192.211250699	134.2	381.0	15:08:52.799	2017/2/14	SU
53	Spectrogram 1	1	43088.761769303	43137.223262893	86.6	255.4	15:58:08.762	2017/2/14	SU
54	Spectrogram 1	1	43762.001755128	43827.204491958	103.9	385.3	16:09:22.002	2017/2/14	SU
55	Spectrogram 1	1	44470.421129604	44527.316181818	155.8	419.9	16:21:10.421	2017/2/14	SU
56	Spectrogram 1	1	44935.903666084	44993.931584382	99.6	398.3	16:28:55.904	2017/2/14	SU
57	Spectrogram 1	1	46422.980562238	46479.246244406	95.2	480.5	16:53:42.981	2017/2/14	SU
58	Spectrogram 1	1	47186.910824825	47240.407278788	272.7	398.3	17:06:26.911	2017/2/14	SU
59	Spectrogram 1	1	47912.449064569	47964.812652448	90.9	381.0	17:18:32.449	2017/2/14	SU
60	Spectrogram 1	1	48612.812952448	48669.833878671	121.2	489.2	17:30:12.813	2017/2/14	SU
61	Spectrogram 1	1	49675.316365152	49738.253369814	164.5	259.7	17:47:55.316	2017/2/14	SU
62	Spectrogram 1	1	52144.346023415	52194.066257098	121.2	415.6	18:29:04.346	2017/2/14	SU
63	Spectrogram 1	1	52618.624717180	52681.687595852	125.5	411.3	18:36:58.625	2017/2/14	SU
64	Spectrogram 1	1	54035.344350117	54076.756899184	86.6	272.7	19:00:35.344	2017/2/14	SU
65	Spectrogram 1	1	55230.200231769	55288.857520114	125.5	441.6	19:20:30.200	2017/2/14	SU
66	Spectrogram 1	1	55944.477249534	55999.987687646	99.6	333.3	19:32:24.477	2017/2/14	SU
67	Spectrogram 1	1	57548.868722378	57615.330199301	86.6	476.2	19:59:08.869	2017/2/14	SU
68	Spectrogram 1	1	57976.107193863	58020.792467173	103.9	155.8	20:06:16.107	2017/2/14	SD
69	Spectrogram 1	1	58275.903632629	58355.078384494	95.2	398.3	20:11:15.904	2017/2/14	SU
70	Spectrogram 1	1	60133.256347533	60188.389163616	112.6	437.2	20:42:13.256	2017/2/14	SU
71	Spectrogram 1	1	60774.141613287	60823.861846970	125.5	393.9	20:52:54.142	2017/2/14	SU
72	Spectrogram 1	1	61353.540128205	61412.197416550	103.9	393.9	21:02:33.540	2017/2/14	SU
73	Spectrogram 1	1	62034.267220629	62087.637800583	99.6	424.2	21:13:54.267	2017/2/14	SU
74	Spectrogram 1	1	62682.851995647	62747.173614411	103.9	389.6	21:24:42.852	2017/2/14	SU
75	Spectrogram 1	1	63354.704359184	63410.466545314	108.2	432.9	21:35:54.704	2017/2/14	SU
76	Spectrogram 1	1	64735.777908741	64798.840787413	86.6	402.6	21:58:55.778	2017/2/14	SU
77	Spectrogram 1	1	65154.183565734	65203.652051399	95.2	173.2	22:05:54.184	2017/2/14	SD
78	Spectrogram 1	1	65647.736006294	65704.127562471	60.6	393.9	22:14:07.736	2017/2/14	SU
79	Spectrogram 1	1	66403.355428558	66461.383346857	86.6	441.6	22:26:43.355	2017/2/14	SU
80	Spectrogram 1	1	77978.994579720	78033.875647786	181.8	411.3	1:39:38.995	2017/2/15	SU
81	Spectrogram 1	1	79392.409051861	79455.723678551	121.2	411.3	2:03:12.409	2017/2/15	SU
82	Spectrogram 1	1	81432.351175524	81474.896590676	246.8	398.3	2:37:12.351	2017/2/15	SU
83	Spectrogram 1	1	82168.337408042	82230.141546620	173.2	402.6	2:49:28.337	2017/2/15	SU
84	Spectrogram 1	1	82837.106469580	82897.400120047	155.8	415.6	3:00:37.106	2017/2/15	SU
85	Spectrogram 1	1	83330.407162121	83368.169364918	216.5	385.3	3:08:50.407	2017/2/15	SU
86	Spectrogram 1	1	84257.755840311	84316.035506628	121.2	398.3	3:24:17.756	2017/2/15	SU
87	Spectrogram 1	1	84612.938793124	84656.491200350	108.2	155.8	3:30:12.939	2017/2/15	SD
88	Spectrogram 1	1	85136.071625874	85179.749907110	86.6	151.5	3:38:56.072	2017/2/15	SD
89	Spectrogram 1	1	85944.839082284	85984.741143240	95.2	164.5	3:52:24.839	2017/2/15	SD
