Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	Begin Date	pulse train type
1	Spectrogram 1	1	6908.601301748	6953.538323077	99.6	372.3	5:55:08.601	2017/1/27	SU
2	Spectrogram 1	1	8493.356429138	8523.943813403	138.5	376.6	6:21:33.356	2017/1/27	SU
3	Spectrogram 1	1	13630.909069697	13674.587350932	108.2	393.9	7:47:10.909	2017/1/27	SU
4	Spectrogram 1	1	14408.307401282	14448.964706294	99.6	381.0	8:00:08.307	2017/1/27	SU
5	Spectrogram 1	1	15073.300692541	15122.895052214	103.9	385.3	8:11:13.301	2017/1/27	SU
6	Spectrogram 1	1	16507.118034456	16557.341764176	103.9	398.3	8:35:07.118	2017/1/27	SU
7	Spectrogram 1	1	17209.762052797	17251.929845921	142.9	381.0	8:46:49.762	2017/1/27	SU
8	Spectrogram 1	1	18081.062845338	18128.894968881	160.2	376.6	9:01:21.063	2017/1/27	SU
9	Spectrogram 1	1	18718.741026573	18751.845891026	168.8	320.3	9:11:58.741	2017/1/27	SU
10	Spectrogram 1	1	19971.692265385	20011.468452331	246.8	346.3	9:32:51.692	2017/1/27	SU
11	Spectrogram 1	1	20562.715050943	20614.071646747	112.6	406.9	9:42:42.715	2017/1/27	SU
12	Spectrogram 1	1	21241.467515427	21290.936001091	264.1	381.0	9:54:01.468	2017/1/27	SU
13	Spectrogram 1	1	23876.937004662	23924.643254196	77.9	155.8	10:37:56.937	2017/1/27	SD
14	Spectrogram 1	1	25008.293500466	25048.699057459	190.5	264.1	10:56:48.294	2017/1/27	SU
15	Spectrogram 1	1	48116.013984149	48161.328627506	82.3	398.3	17:21:56.014	2017/1/27	SU
16	Spectrogram 1	1	48919.039242245	48966.367869751	99.6	385.3	17:35:19.039	2017/1/27	SU
17	Spectrogram 1	1	61025.160584382	61080.796896503	86.6	363.6	20:57:05.161	2017/1/27	SU
18	Spectrogram 1	1	61515.566174709	61540.489228555	108.2	368.0	21:05:15.566	2017/1/27	SU
19	Spectrogram 1	1	61963.929845921	62013.775953613	90.9	307.4	21:12:43.930	2017/1/27	SU
20	Spectrogram 1	1	64856.517280186	64891.510254779	95.2	359.3	22:00:56.517	2017/1/27	SU
21	Spectrogram 1	1	67554.629370047	67620.083854895	103.9	381.0	22:45:54.629	2017/1/27	C
22	Spectrogram 1	1	85576.027934965	85619.454468182	108.2	428.6	3:46:16.028	2017/1/28	SU
