Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	Begin Date	pulse train type
1	Spectrogram 1	1	5548.531637082	5575.518882249	84.4	493.3	5:32:28.532	2017/1/1	SU
2	Spectrogram 1	1	6866.121583215	6914.622245521	280.0	364.4	5:54:26.122	2017/1/1	SU
3	Spectrogram 1	1	8566.140613726	8606.748779804	75.6	280.0	6:22:46.141	2017/1/1	SU?
4	Spectrogram 1	1	8599.633636374	8649.534580269	177.5	381.0	6:23:19.634	2017/1/1	SU
5	Spectrogram 1	1	11663.554291490	11713.709832037	77.9	402.6	7:14:23.554	2017/1/1	SU
6	Spectrogram 1	1	13463.834481141	13509.789176921	138.5	415.6	7:44:23.834	2017/1/1	SU
8	Spectrogram 1	1	15202.013485924	15254.587694670	103.9	376.6	8:13:22.013	2017/1/1	SU
9	Spectrogram 1	1	16378.052304573	16433.427076497	108.2	363.6	8:32:58.052	2017/1/1	SU
10	Spectrogram 1	1	16991.973287130	17034.504763437	268.4	368.0	8:43:11.973	2017/1/1	SU
11	Spectrogram 1	1	18746.621742321	18797.541072826	90.9	346.3	9:12:26.622	2017/1/1	SU
12	Spectrogram 1	1	23608.782126942	23660.337949078	298.7	368.0	10:33:28.782	2017/1/1	SU
13	Spectrogram 1	1	24879.627754597	24917.053462518	294.4	355.0	10:54:39.628	2017/1/1	SU
15	Spectrogram 1	1	27320.702708982	27371.367442834	290.0	381.0	11:35:20.703	2017/1/1	SU
16	Spectrogram 1	1	33640.357587223	33697.387237388	73.6	155.8	13:20:40.358	2017/1/1	SD
19	Spectrogram 1	1	33938.719854314	34000.968735856	73.6	155.8	13:25:38.720	2017/1/1	SD
20	Spectrogram 1	1	34017.644816596	34068.564147100	86.6	346.3	13:26:57.645	2017/1/1	SU
21	Spectrogram 1	1	34236.432825679	34289.134332751	86.6	147.2	13:30:36.433	2017/1/1	SD
22	Spectrogram 1	1	34502.499131660	34548.071932461	86.6	190.5	13:35:02.499	2017/1/1	SD
23	Spectrogram 1	1	34859.545927157	34915.047997407	86.6	164.5	13:40:59.546	2017/1/1	SD
24	Spectrogram 1	1	35060.677282650	35110.069033239	103.9	160.2	13:44:20.677	2017/1/1	SD
25	Spectrogram 1	1	35359.039549741	35409.704283593	82.3	138.5	13:49:19.040	2017/1/1	SD
26	Spectrogram 1	1	35557.370342056	35607.653180929	69.3	151.5	13:52:37.370	2017/1/1	SD
27	Spectrogram 1	1	35873.045181518	35930.202130009	95.2	164.5	13:57:53.045	2017/1/1	SD
29	Spectrogram 1	1	34762.926265677	34816.264264380	82.3	155.8	13:39:22.926	2017/1/1	SD
30	Spectrogram 1	1	35231.740991631	35278.077582390	69.3	138.5	13:47:11.741	2017/1/1	SD
31	Spectrogram 1	1	36428.167940830	36481.505939533	73.6	147.2	14:07:08.168	2017/1/1	SD
32	Spectrogram 1	1	37916.337644154	37947.907629066	95.2	138.5	14:31:56.338	2017/1/1	SD
33	Spectrogram 1	1	38267.274119991	38303.299546322	77.9	355.0	14:37:47.274	2017/1/1	SU
34	Spectrogram 1	1	38899.921791843	38964.971236563	64.9	368.0	14:48:19.922	2017/1/1	SU
35	Spectrogram 1	1	40218.637131414	40266.501302089	60.6	363.6	15:10:18.637	2017/1/1	SU
37	Spectrogram 1	1	42321.016540783	42362.515795144	60.6	346.3	15:45:21.017	2017/1/1	SU
38	Spectrogram 1	1	42145.726745521	42203.902080622	103.9	307.4	15:42:25.727	2017/1/1	SU
39	Spectrogram 1	1	44244.139615276	44287.166449552	51.9	372.3	16:17:24.140	2017/1/1	SU
41	Spectrogram 1	1	46216.654440358	46265.155102664	73.6	389.6	16:50:16.654	2017/1/1	SU
42	Spectrogram 1	1	47383.777764851	47434.569797030	43.3	363.6	17:09:43.778	2017/1/1	SU
43	Spectrogram 1	1	47967.924774399	48012.097293612	39.0	363.6	17:19:27.925	2017/1/1	SU
44	Spectrogram 1	1	48555.381540429	48600.827042904	77.9	381.0	17:29:15.382	2017/1/1	SU
46	Spectrogram 1	1	49787.219570145	49845.904098551	121.2	376.6	17:49:47.220	2017/1/1	SU
47	Spectrogram 1	1	50419.682646484	50480.022053132	86.6	381.0	18:00:19.683	2017/1/1	SU
48	Spectrogram 1	1	51799.022422560	51857.834249293	112.6	359.3	18:23:19.022	2017/1/1	SU
49	Spectrogram 1	1	52049.163633663	52087.225833215	73.6	372.3	18:27:29.164	2017/1/1	SU
50	Spectrogram 1	1	52373.749355964	52417.158085219	64.9	372.3	18:32:53.749	2017/1/1	SU
52	Spectrogram 1	1	53542.003716453	53593.686836915	56.3	368.0	18:52:22.004	2017/1/1	SU
53	Spectrogram 1	1	53571.282331493	53620.292187104	134.2	471.9	18:52:51.282	2017/1/1	SU
54	Spectrogram 1	1	57645.778786893	57670.856557166	64.9	415.6	20:00:45.779	2017/1/1	SU
55	Spectrogram 1	1	58196.700933286	58233.744746228	99.6	363.6	20:09:56.701	2017/1/1	SU
56	Spectrogram 1	1	59999.654387789	60055.029159712	51.9	381.0	20:39:59.654	2017/1/1	SU
57	Spectrogram 1	1	61190.822447005	61241.869075835	51.9	355.0	20:59:50.822	2017/1/1	SU
