Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	Begin Date	pulse train type
1	Spectrogram 1	1	274.531214336	325.384314103	67.1	134.2	4:04:34.531	2017/1/5	SU
2	Spectrogram 1	1	2043.943963403	2086.615252564	303.0	393.9	4:34:03.944	2017/1/5	SU
3	Spectrogram 1	1	4897.762202797	4940.811113986	77.9	346.3	5:21:37.762	2017/1/5	SU
4	Spectrogram 1	1	5307.466781450	5357.816385180	73.6	381.0	5:28:27.467	2017/1/5	SU
5	Spectrogram 1	1	6489.140296181	6543.140246181	56.3	381.0	5:48:09.140	2017/1/5	SU
6	Spectrogram 1	1	7129.954507376	7175.646772761	86.6	406.9	5:58:49.955	2017/1/5	SU
7	Spectrogram 1	1	7753.996549578	7804.472027316	60.6	381.0	6:09:13.997	2017/1/5	SU
8	Spectrogram 1	1	15196.405473660	15244.111723193	86.6	424.2	8:13:16.405	2017/1/5	SU
9	Spectrogram 1	1	15654.335569580	15695.118748601	86.6	376.6	8:20:54.336	2017/1/5	SU
10	Spectrogram 1	1	17338.030075677	17392.155899686	99.6	376.6	8:48:58.030	2017/1/5	SU
11	Spectrogram 1	1	18028.825131469	18083.202703497	77.9	402.6	9:00:28.825	2017/1/5	SU
12	Spectrogram 1	1	18778.321797378	18823.007070688	51.9	389.6	9:12:58.322	2017/1/5	SU
13	Spectrogram 1	1	19552.908986364	19597.342511655	86.6	450.2	9:25:52.909	2017/1/5	SU
14	Spectrogram 1	1	25765.426566550	25814.769178205	277.1	415.6	11:09:25.427	2017/1/5	SU
15	Spectrogram 1	1	27670.989188686	27719.198934257	82.3	381.0	11:41:10.989	2017/1/5	SU
16	Spectrogram 1	1	49568.618684972	49611.919344179	138.5	424.2	17:46:08.619	2017/1/5	SU
17	Spectrogram 1	1	51768.755010723	51800.978757110	69.3	311.7	18:22:48.755	2017/1/5	SU
18	Spectrogram 1	1	54612.503329371	54644.601201748	90.9	337.7	19:10:12.503	2017/1/5	SU
19	Spectrogram 1	1	55430.685289977	55475.118815268	69.3	393.9	19:23:50.685	2017/1/5	SU
20	Spectrogram 1	1	57679.560255125	57715.182599764	112.6	393.9	20:01:19.560	2017/1/5	SU
21	Spectrogram 1	1	60825.650279604	60864.545348485	73.6	398.3	20:53:45.650	2017/1/5	SU
22	Spectrogram 1	1	82848.335452914	82901.580158858	77.9	454.5	3:00:48.335	2017/1/6	SU
