Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	Begin Date	pulse train type
1	Spectrogram 1	1	17710.237563869	17760.964789627	437.2	510.8	8:55:10.238	2017/2/2	SU
2	Spectrogram 1	1	28215.692282051	28281.902010956	155.8	350.6	11:50:15.692	2017/2/2	C
3	Spectrogram 1	1	28866.083738228	28927.887876807	151.5	350.6	12:01:06.084	2017/2/2	C
4	Spectrogram 1	1	29713.216720979	29766.587300932	142.9	346.3	12:15:13.217	2017/2/2	C
5	Spectrogram 1	1	30404.894852214	30467.957730886	164.5	376.6	12:26:44.895	2017/2/2	SU
6	Spectrogram 1	1	31640.853099767	31702.027868298	142.9	350.6	12:47:20.853	2017/2/2	C
7	Spectrogram 1	1	32605.174785198	32664.713191608	99.6	363.6	13:03:25.175	2017/2/2	C
8	Spectrogram 1	1	33263.999800000	33320.013734149	147.2	359.3	13:14:24.000	2017/2/2	C
9	Spectrogram 1	1	34012.100125693	34051.750438630	138.5	346.3	13:26:52.100	2017/2/2	C
10	Spectrogram 1	1	34637.937595612	34689.797687453	142.9	363.6	13:37:17.938	2017/2/2	C
11	Spectrogram 1	1	35325.963275677	35382.606579872	125.5	350.6	13:48:45.963	2017/2/2	C
12	Spectrogram 1	1	35978.223763054	36038.895035548	129.9	350.6	13:59:38.224	2017/2/2	C
13	Spectrogram 1	1	36615.939511487	36674.974421860	147.2	350.6	14:10:15.940	2017/2/2	C
14	Spectrogram 1	1	37255.014315302	37306.748533134	134.2	363.6	14:20:55.014	2017/2/2	C
15	Spectrogram 1	1	38030.349537063	38080.699140793	138.5	368.0	14:33:50.350	2017/2/2	C
16	Spectrogram 1	1	38704.214549024	38762.368341331	86.6	359.3	14:45:04.215	2017/2/2	SD
17	Spectrogram 1	1	39387.650329604	39430.447492774	147.2	359.3	14:56:27.650	2017/2/2	C
18	Spectrogram 1	1	39925.258673427	39969.440450699	90.9	350.6	15:05:25.259	2017/2/2	SD
19	Spectrogram 1	1	41897.580325524	41948.936921329	142.9	363.6	15:38:17.580	2017/2/2	SD
20	Spectrogram 1	1	42727.414951890	42787.960350375	116.9	359.3	15:52:07.415	2017/2/2	C
21	Spectrogram 1	1	43417.861831582	43471.610033563	138.5	359.3	16:03:37.862	2017/2/2	C
22	Spectrogram 1	1	44705.594093050	44758.587050975	142.9	363.6	16:25:05.594	2017/2/2	C
23	Spectrogram 1	1	45534.234715032	45586.850050929	151.5	393.9	16:38:54.235	2017/2/2	C
24	Spectrogram 1	1	46204.111856527	46260.377538695	155.8	337.7	16:50:04.112	2017/2/2	C
25	Spectrogram 1	1	46829.576959049	46883.073413011	142.9	519.5	17:00:29.577	2017/2/2	C
26	Spectrogram 1	1	49708.055683997	49750.726973158	155.8	220.8	17:48:28.056	2017/2/2	SU
27	Spectrogram 1	1	54064.825064802	54121.720117016	95.2	381.0	19:01:04.825	2017/2/2	SU
28	Spectrogram 1	1	55237.512097446	55291.008551409	73.6	285.7	19:20:37.512	2017/2/2	SU
29	Spectrogram 1	1	61794.503429371	61839.188702681	90.9	199.1	21:09:54.503	2017/2/2	SU
30	Spectrogram 1	1	62469.062695338	62523.314393357	86.6	242.4	21:21:09.063	2017/2/2	SU
31	Spectrogram 1	1	63833.409132592	63874.695807650	86.6	246.8	21:43:53.409	2017/2/2	SU
32	Spectrogram 1	1	68163.947452966	68230.408929889	64.9	359.3	22:56:03.947	2017/2/2	SU
33	Spectrogram 1	1	82274.727142424	82310.978857110	73.6	342.0	2:51:14.727	2017/2/3	SU
34	Spectrogram 1	1	84679.552340559	84716.936921329	73.6	229.4	3:31:19.552	2017/2/3	SU
