Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	Begin Date	pulse train type
1	Spectrogram 1	1	18472.153842308	18515.202753497	129.9	329.0	9:07:52.154	2017/2/5	SU
2	Spectrogram 1	1	26419.271303034	26472.516008978	86.6	432.9	11:20:19.271	2017/2/5	SU
3	Spectrogram 1	1	26492.529976460	26540.236225994	168.8	398.3	11:21:32.530	2017/2/5	C
4	Spectrogram 1	1	26890.523313388	26945.404381453	69.3	506.5	11:28:10.523	2017/2/5	SU
5	Spectrogram 1	1	27377.280061537	27442.105176339	82.3	411.3	11:36:17.280	2017/2/5	SU
6	Spectrogram 1	1	27575.783374241	27631.419686362	95.2	545.5	11:39:35.783	2017/2/5	SU
7	Spectrogram 1	1	27775.132799417	27824.475411072	47.6	173.2	11:42:55.133	2017/2/5	SD
8	Spectrogram 1	1	27918.880918065	27987.104631119	56.3	363.6	11:45:18.881	2017/2/5	SU
9	Spectrogram 1	1	28261.384547436	28309.720167016	56.3	194.8	11:51:01.385	2017/2/5	SD
10	Spectrogram 1	1	28426.279499650	28485.566158042	82.3	385.3	11:53:46.279	2017/2/5	SU
11	Spectrogram 1	1	28537.389307758	28598.060580252	64.9	424.2	11:55:37.389	2017/2/5	SU
12	Spectrogram 1	1	28763.622294639	28811.202670163	60.6	177.5	11:59:23.622	2017/2/5	SD
13	Spectrogram 1	1	28960.835625606	29020.499906025	69.3	376.6	12:02:40.836	2017/2/5	SU
14	Spectrogram 1	1	29078.716185769	29135.611237984	95.2	381.0	12:04:38.716	2017/2/5	SU
15	Spectrogram 1	1	29494.455958147	29553.994364557	64.9	411.3	12:11:34.456	2017/2/5	SU
16	Spectrogram 1	1	29291.263162169	29336.829553544	69.3	151.5	12:08:11.263	2017/2/5	SD
17	Spectrogram 1	1	29593.214489166	29656.654989865	69.3	523.8	12:13:13.214	2017/2/5	SU
18	Spectrogram 1	1	29815.222139306	29860.410908653	77.9	173.2	12:16:55.222	2017/2/5	SD
19	Spectrogram 1	1	30057.246023491	30117.287925938	86.6	372.3	12:20:57.246	2017/2/5	SU
20	Spectrogram 1	1	30118.169044004	30179.973182582	77.9	458.9	12:21:58.169	2017/2/5	SU
21	Spectrogram 1	1	30339.692115385	30391.048711189	99.6	181.8	12:25:39.692	2017/2/5	SD
22	Spectrogram 1	1	30696.167759790	30761.244622611	77.9	515.2	12:31:36.168	2017/2/5	SU
23	Spectrogram 1	1	30634.741243240	30683.328610839	86.6	549.8	12:30:34.741	2017/2/5	SU
24	Spectrogram 1	1	30946.614382327	30993.565387805	95.2	164.5	12:35:46.614	2017/2/5	SD
25	Spectrogram 1	1	31313.706099534	31376.517230186	86.6	506.5	12:41:53.706	2017/2/5	SU
26	Spectrogram 1	1	31858.363387879	31922.810880653	77.9	368.0	12:50:58.363	2017/2/5	SU
27	Spectrogram 1	1	32100.419557809	32153.538389744	99.6	173.2	12:55:00.420	2017/2/5	SD
28	Spectrogram 1	1	32414.122224364	32478.695591148	103.9	536.8	13:00:14.122	2017/2/5	SU
29	Spectrogram 1	1	32641.300625874	32699.076796154	103.9	186.1	13:04:01.301	2017/2/5	SD
30	Spectrogram 1	1	33025.367773633	33090.067014425	77.9	523.8	13:10:25.368	2017/2/5	SU
31	Spectrogram 1	1	33255.314493357	33302.391372844	69.3	173.2	13:14:15.314	2017/2/5	SD
32	Spectrogram 1	1	33573.524438928	33642.377522028	95.2	471.9	13:19:33.524	2017/2/5	SU
33	Spectrogram 1	1	33815.008169868	33866.364765672	103.9	155.8	13:23:35.008	2017/2/5	SD
34	Spectrogram 1	1	34164.265436438	34232.615023501	77.9	523.8	13:29:24.265	2017/2/5	SU
35	Spectrogram 1	1	34403.843942382	34454.571168139	82.3	160.2	13:33:23.844	2017/2/5	SD
36	Spectrogram 1	1	34738.741043240	34804.699024126	69.3	381.0	13:38:58.741	2017/2/5	SU
37	Spectrogram 1	1	35968.531464336	36037.888043473	86.6	393.9	13:59:28.531	2017/2/5	SU
38	Spectrogram 1	1	36553.594309674	36614.769078205	103.9	342.0	14:09:13.594	2017/2/5	SU
39	Spectrogram 1	1	37140.041769114	37203.985765851	82.3	337.7	14:19:00.042	2017/2/5	SU
40	Spectrogram 1	1	38626.866917249	38665.132616084	116.9	186.1	14:43:46.867	2017/2/5	SD
41	Spectrogram 1	1	47279.064780972	47328.910888664	190.5	359.3	17:07:59.065	2017/2/5	SU
42	Spectrogram 1	1	57922.615302564	57972.335536247	415.6	562.8	20:05:22.615	2017/2/5	SU
43	Spectrogram 1	1	60490.950838811	60539.412332401	108.2	467.5	20:48:10.951	2017/2/5	SU
