Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	Begin Date	pulse train type
1	Spectrogram 1	1	4134.338481586	4189.209398522	69.3	155.8	5:08:54.338	2017/1/10	SD
2	Spectrogram 1	1	4191.183109916	4243.876609513	73.6	363.6	5:09:51.183	2017/1/10	SU
3	Spectrogram 1	1	4979.834947676	5038.334893510	73.6	199.1	5:22:59.835	2017/1/10	SU
4	Spectrogram 1	1	6834.774165054	6883.112829973	60.6	155.8	5:53:54.774	2017/1/10	SD
5	Spectrogram 1	1	35080.489428555	35127.440434033	39.0	402.6	13:44:40.489	2017/1/10	SU
6	Spectrogram 1	1	36713.580175524	36757.258456760	95.2	445.9	14:11:53.580	2017/1/10	SU
7	Spectrogram 1	1	38020.279616317	38063.580275524	77.9	588.7	14:33:40.280	2017/1/10	SU
8	Spectrogram 1	1	53564.097805711	53626.531314336	60.6	393.9	18:52:44.098	2017/1/10	SU
9	Spectrogram 1	1	54213.859891841	54257.538173077	103.9	155.8	19:03:33.860	2017/1/10	SD
10	Spectrogram 1	1	54497.328610839	54561.524355594	69.3	363.6	19:08:17.329	2017/1/10	SU
11	Spectrogram 1	1	55424.013967483	55475.874059324	95.2	177.5	19:23:44.014	2017/1/10	SD
12	Spectrogram 1	1	61727.412582401	61777.384564103	95.2	450.2	21:08:47.413	2017/1/10	SU
13	Spectrogram 1	1	61801.048877855	61833.650246270	238.1	411.3	21:10:01.049	2017/1/10	SU
14	Spectrogram 1	1	62395.426399883	62458.866900583	203.5	402.6	21:19:55.426	2017/1/10	SU
