Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	Begin Date	pulse train type
1	Spectrogram 1	1	1799.224612008	1841.014783104	90.9	168.8	4:29:59.225	2017/1/13	SD
4	Spectrogram 1	1	5902.867067249	5943.272624242	190.5	437.2	5:38:22.867	2017/1/13	SU
5	Spectrogram 1	1	6546.461326923	6593.664080420	207.8	411.3	5:49:06.461	2017/1/13	SU
6	Spectrogram 1	1	7394.601301748	7448.601251748	134.2	402.6	6:03:14.601	2017/1/13	SU
7	Spectrogram 1	1	8016.922853846	8060.727009091	216.5	415.6	6:13:36.923	2017/1/13	SU
8	Spectrogram 1	1	8572.117210951	8620.452830531	294.4	376.6	6:22:52.117	2017/1/13	SU
9	Spectrogram 1	1	9235.006992075	9284.097855711	190.5	441.6	6:33:55.007	2017/1/13	SU
10	Spectrogram 1	1	9827.496403963	9873.188669347	199.1	463.2	6:43:47.496	2017/1/13	SU
11	Spectrogram 1	1	11757.398514918	11802.335536247	125.5	406.9	7:15:57.399	2017/1/13	SU
12	Spectrogram 1	1	12334.279549650	12381.230555128	138.5	398.3	7:25:34.280	2017/1/13	SU
13	Spectrogram 1	1	12986.635122678	13028.047671746	121.2	398.3	7:36:26.635	2017/1/13	SU
14	Spectrogram 1	1	13608.629370047	13656.461493590	103.9	411.3	7:46:48.629	2017/1/13	SU
15	Spectrogram 1	1	14184.125790676	14235.860008508	86.6	398.3	7:56:24.126	2017/1/13	SU
16	Spectrogram 1	1	16595.496437296	16648.363521212	129.9	398.3	8:36:35.496	2017/1/13	SU
17	Spectrogram 1	1	16839.865957623	16885.054726970	294.4	372.3	8:40:39.866	2017/1/13	SU
18	Spectrogram 1	1	17310.838882284	17362.447226107	108.2	398.3	8:48:30.839	2017/1/13	SU
19	Spectrogram 1	1	16976.024096132	17034.555510467	43.3	212.1	8:42:56.024	2017/1/13	SD
20	Spectrogram 1	1	17669.327315930	17713.005597166	103.9	177.5	8:54:29.327	2017/1/13	SD
21	Spectrogram 1	1	17840.995378976	17893.862462892	51.9	199.1	8:57:20.995	2017/1/13	SD
22	Spectrogram 1	1	17886.184148323	17939.932350304	60.6	419.9	8:58:06.184	2017/1/13	SU
23	Spectrogram 1	1	18505.949612354	18560.327184382	73.6	393.9	9:08:25.950	2017/1/13	SU
24	Spectrogram 1	1	18661.781635897	18718.928436131	51.9	190.5	9:11:01.782	2017/1/13	SD
25	Spectrogram 1	1	19087.110363403	19140.606817366	103.9	411.3	9:18:07.110	2017/1/13	SU
26	Spectrogram 1	1	19408.718907226	19452.648936480	90.9	389.6	9:23:28.719	2017/1/13	SU
27	Spectrogram 1	1	19627.236187413	19669.529854545	77.9	177.5	9:27:07.236	2017/1/13	SD
28	Spectrogram 1	1	19676.829352177	19731.962168261	95.2	415.6	9:27:56.829	2017/1/13	SU
29	Spectrogram 1	1	20115.250171562	20168.746625524	216.5	415.6	9:35:15.250	2017/1/13	SU
30	Spectrogram 1	1	20824.173492075	20885.222386597	125.5	398.3	9:47:04.173	2017/1/13	SU
31	Spectrogram 1	1	20888.998606876	20947.278273193	73.6	190.5	9:48:08.999	2017/1/13	SD
32	Spectrogram 1	1	20946.019533100	21002.411089277	99.6	428.6	9:49:06.020	2017/1/13	SU
33	Spectrogram 1	1	19249.865759091	19283.851741608	112.6	199.1	9:20:49.866	2017/1/13	SD
34	Spectrogram 1	1	20261.893694056	20314.509029953	47.6	419.9	9:37:41.894	2017/1/13	SU
35	Spectrogram 1	1	21421.320093939	21482.998358508	60.6	181.8	9:57:01.320	2017/1/13	SD
36	Spectrogram 1	1	21725.306276457	21779.054478438	82.3	406.9	10:02:05.306	2017/1/13	SU
37	Spectrogram 1	1	21772.886651981	21813.543956993	112.6	458.9	10:02:52.887	2017/1/13	SU
38	Spectrogram 1	1	21883.907528205	21943.068312587	56.3	190.5	10:04:43.908	2017/1/13	SU
39	Spectrogram 1	1	22317.561371072	22370.554328997	82.3	381.0	10:11:57.561	2017/1/13	SU
40	Spectrogram 1	1	22368.397040093	22425.921462354	47.6	173.2	10:12:48.397	2017/1/13	SD
41	Spectrogram 1	1	22422.145242075	22473.124215851	116.9	402.6	10:13:42.145	2017/1/13	SU
42	Spectrogram 1	1	22875.921495688	22929.669697669	64.9	173.2	10:21:15.921	2017/1/13	SD
43	Spectrogram 1	1	23625.627995221	23662.383205944	56.3	173.2	10:33:45.628	2017/1/13	SD
44	Spectrogram 1	1	23650.551049068	23685.040527622	90.9	389.6	10:34:10.551	2017/1/13	SU
45	Spectrogram 1	1	24671.138416667	24732.690807226	64.9	393.9	10:51:11.138	2017/1/13	SU
