Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
1	Spectrogram 1	1	0.1	128.435	128.335	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_000000_245s205ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_000000_245s205ms_ch10.aif	NN	nan	raven	0.0
2	Spectrogram 1	1	0.1	77.94500000000001	77.84500000000001	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_000000_343s155ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_000000_343s155ms_ch10.aif	NN	nan	raven	0.0
3	Spectrogram 1	1	0.1	116.33000000000001	116.23000000000002	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_000000_566s985ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_000000_566s985ms_ch10.aif	NN	nan	raven	0.0
4	Spectrogram 1	1	0.1	67.64	67.54	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_000000_863s295ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_000000_863s295ms_ch10.aif	NN	nan	raven	0.0
5	Spectrogram 1	1	0.1	116.5545	116.45450000000001	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_001500_1359s750ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_001500_1359s750ms_ch10.aif	NN	nan	raven	0.0
6	Spectrogram 1	1	0.1	93.38000000000001	93.28000000000002	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_001500_1475s130ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_001500_1475s130ms_ch10.aif	NN	nan	raven	0.0
7	Spectrogram 1	1	0.1	80.735	80.635	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_001500_1593s285ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_001500_1593s285ms_ch10.aif	NN	nan	raven	0.0
8	Spectrogram 1	1	0.1	98.825	98.72500000000001	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_003000_1906s515ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_003000_1906s515ms_ch10.aif	NN	nan	raven	0.0
9	Spectrogram 1	1	0.1	69.84450000000001	69.74450000000002	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_003000_2025s315ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_003000_2025s315ms_ch10.aif	NN	nan	raven	0.0
10	Spectrogram 1	1	0.1	73.57950000000001	73.47950000000002	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_003000_2420s160ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_003000_2420s160ms_ch10.aif	NN	nan	raven	0.0
11	Spectrogram 1	1	0.1	72.56750000000001	72.46750000000002	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_003000_2656s275ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_003000_2656s275ms_ch10.aif	NN	nan	raven	0.0
12	Spectrogram 1	1	0.1	71.19500000000001	71.09500000000001	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_010000_3600s540ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_010000_3600s540ms_ch10.aif	NN	nan	raven	0.0
13	Spectrogram 1	1	0.1	74.2095	74.10950000000001	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_010000_3659s535ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_010000_3659s535ms_ch10.aif	NN	nan	raven	0.0
14	Spectrogram 1	1	0.1	138.95000000000002	138.85000000000002	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_010000_3927s675ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_010000_3927s675ms_ch10.aif	NN	nan	raven	0.0
15	Spectrogram 1	1	0.1	110.93	110.83000000000001	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_010000_4100s700ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_010000_4100s700ms_ch10.aif	NN	nan	raven	0.0
16	Spectrogram 1	1	0.1	89.19500000000001	89.09500000000001	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_010000_4200s090ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_010000_4200s090ms_ch10.aif	NN	nan	raven	0.0
17	Spectrogram 1	1	0.1	136.67000000000002	136.57000000000002	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_010000_4351s515ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_010000_4351s515ms_ch10.aif	NN	nan	raven	0.0
18	Spectrogram 1	1	0.1	71.44250000000001	71.34250000000002	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_010000_4417s012ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_010000_4417s012ms_ch10.aif	NN	nan	raven	0.0
19	Spectrogram 1	1	0.1	128.705	128.60500000000002	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_011500_4916s685ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_011500_4916s685ms_ch10.aif	NN	nan	raven	0.0
20	Spectrogram 1	1	0.1	75.78500000000001	75.68500000000002	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_011500_4980s315ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_011500_4980s315ms_ch10.aif	NN	nan	raven	0.0
21	Spectrogram 1	1	0.1	89.465	89.36500000000001	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_011500_5075s580ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_011500_5075s580ms_ch10.aif	NN	nan	raven	0.0
22	Spectrogram 1	1	0.1	136.895	136.79500000000002	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200812-NOPP5_CH10\noise\NOPP5_Clips_Ano_1000_20090115_011500_5188s380ms_ch10.aif	0.1	NOPP5_Clips_Ano_1000_20090115_011500_5188s380ms_ch10.aif	NN	nan	raven	0.0
