Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
1	Spectrogram 1	1	6.7065	62.74250000000006	56.03600000000006	0.0	191.4	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200907-NOPP8a_CH01\NOPP8a_Clips_minke_pt_20090802_201500_011s624ms_ch01.aif	6.7065	NOPP8a_Clips_minke_pt_20090802_201500_011s624ms_ch01.aif	MW	nan	raven	0.0
2	Spectrogram 1	1	12.886	57.00300000000564	44.117000000005646	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200907-NOPP8a_CH01\NOPP8a_Clips_minke_pt_20091001_000000_012s886ms_ch01.aif	12.886	NOPP8a_Clips_minke_pt_20091001_000000_012s886ms_ch01.aif	MW	nan	raven	0.0
3	Spectrogram 1	1	45.1015	90.20249999999511	45.10099999999511	0.0	285.2	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200907-NOPP8a_CH01\NOPP8a_Clips_minke_pt_20091001_000000_086s623ms_ch01.aif	45.1015	NOPP8a_Clips_minke_pt_20091001_000000_086s623ms_ch01.aif	MW	nan	raven	0.0
4	Spectrogram 1	1	29.889	59.77700000000628	29.888000000006283	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200907-NOPP8a_CH01\NOPP8a_Clips_minke_pt_20091001_000000_154s990ms_ch01.aif	29.889	NOPP8a_Clips_minke_pt_20091001_000000_154s990ms_ch01.aif	MW	nan	raven	0.0
5	Spectrogram 1	1	54.8555	109.71049999999593	54.85499999999593	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200907-NOPP8a_CH01\NOPP8a_Clips_minke_pt_20091001_000000_206s356ms_ch01.aif	54.8555	NOPP8a_Clips_minke_pt_20091001_000000_206s356ms_ch01.aif	MW	nan	raven	0.0
6	Spectrogram 1	1	51.902	103.80499999999843	51.90299999999843	0.0	300.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200907-NOPP8a_CH01\NOPP8a_Clips_minke_pt_20091001_000000_282s330ms_ch01.aif	51.902	NOPP8a_Clips_minke_pt_20091001_000000_282s330ms_ch01.aif	MW	nan	raven	0.0
7	Spectrogram 1	1	22.7295	45.45949999999593	22.729999999995925	0.0	253.9	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200907-NOPP8a_CH01\NOPP8a_Clips_minke_pt_20091001_000000_361s883ms_ch01.aif	22.7295	NOPP8a_Clips_minke_pt_20091001_000000_361s883ms_ch01.aif	MW	nan	raven	0.0
8	Spectrogram 1	1	42.649	54.586999999994646	11.937999999994645	0.0	285.2	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200907-NOPP8a_CH01\NOPP8a_Clips_minke_pt_20091001_001500_398s305ms_ch01.aif	42.649	NOPP8a_Clips_minke_pt_20091001_001500_398s305ms_ch01.aif	MW	nan	raven	0.0
9	Spectrogram 1	1	82.608	126.1759999999993	43.5679999999993	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200907-NOPP8a_CH01\NOPP8a_Clips_minke_pt_20091001_001500_431s325ms_ch01.aif	82.608	NOPP8a_Clips_minke_pt_20091001_001500_431s325ms_ch01.aif	MW	nan	raven	0.0
10	Spectrogram 1	1	0.096	21.655999999997672	21.55999999999767	0.0	210.9	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200907-NOPP8a_CH01\NOPP8a_Clips_minke_pt_20091001_001500_600s268ms_ch01.aif	0.096	NOPP8a_Clips_minke_pt_20091001_001500_600s268ms_ch01.aif	MW	nan	raven	0.0
